sentence_1,sentence_2,sentence_3,sentence_4,correct_ending,incorrect_ending,language
Saufika nuliskeun matéri anu dicantumkeun dina papan tulis.,Suasana kelas sepi.,"Nu aya ngan Saufika jeung batur sabangkuna, Dianti.",Dianti marengan Saufika ngarékam matéri pangajaran pamungkas.,Dianti geus biasa ngalakukeun ieu alatan manéhna nyaho yén Saufika butuh waktu lila nulis.,Dianti geus biasa nulis dina papan tulis.,su
"Sabrina marengan lanceukna, Dhanendra, ngabagi-bagi ondangan kawinan Dhanendra.",Ti isuk-isuk Sabrina jeung Dhanendra naek mobil.,Maranéhna ngalongok ka imah barayana nu teu jauh ti imahna.,"Dhanendra hoyong masihan anjeun uleman kawinan langsung ka anjeun, kitu ogé pasamoan ramah.",Jumlahna aya lima imah baraya anu kudu didatangan ayeuna.,Jumlahna aya lima imah anu kedah ditingali ku Dhanendra pikeun resepsi pernikahanna.,su
Haya resep kana senam lantai,Haya hayang jadi tukang senam,Haya ngalatih awakna pikeun fleksibel sareng lincah,Haya junun meunang kajuaraan nasional,Kerja keras Haya terbayar,Haya resep damel di tukangeun layar,su
Heira méré boneka panda ka Fusay,Heira meunang ti ulin ka pasar peuting,Fusay nampi boneka panda anu dipasihkeun ku Heira,Fusay nangkeup bonéka pageuh pisan,Heira meunang kaulinan di pasar peuting,Boneka panda Fusay murag di jalan sabab murag leupas,su
Maria gaduh boneka beruang lucu,Bonéka éta ngaranna Lilia,Maria nyandak Lilia kamana waé anjeunna angkat,"Boh di sakola boh di imah, manéhna teu poho mawa Lilia",Budak umur 5 taun resep pisan kana boneka teddy anu dipasihkeun ku kolotna,Maria nganggap Lilia anakna,su
"Waktu keur SD, Feri sok dibully ku babaturanana",Anjeunna sering dihina sarta ogé dicoo ku babaturanana,Anjeunna ogé sering ceurik di sakola,Geus 12 taun Feri lulus SD,Feri téh jalma nu kurang percaya diri jeung teu pinter bersosialisasi,Feri loba babaturan jeung nyaah pisan ka babaturanana,su
Lena teu kedah tuang tuangeun asin,Lena ngagaduhan masalah lambung,Lena ngan ukur tiasa tuang tuangeun anu amis,Lena teu pernah nyobaan uyah dina hirupna,Lena teu nyaho rasa uyah,Lena sok nambihan uyah kana unggal tuangeunana,su
Gloria diuk nyarandé kana témbok tukangeun kelasna.,Anjeunna dikepung ku réréncangan anu sanés.,Maranéhna keur ngadiskusikeun penampilan maranéhanana dina perayaan Hari Guru Nasional.,"Tanpa disadari, bel tanda istirahat kahiji disada.",Diskusi bakal diteruskeun engké nalika istirahat kadua pikeun tuang siang.,Sawala bakal dituluykeun engké sanggeus semester geus robah.,su
Jio geus lila hayang ngajaga ucing,"Sanajan kitu, anjeunna masih bingung ngeunaan jenis ucing anjeunna bakal milih",Jio manggihan ngeunaan jenis ucing ngaliwatan internét,Anjeunna ogé rutin ngaluncurkeun média sosial toko piaraan,"Tungtungna, Jio milih ngajaga ucing Persia","Sanggeus dipikir taliti, Jio hayang ngajaga ucing badag kawas maung",su
Lanceukna mah puguh baé,Ema asup ka kamar adina,Indung ambek ningali kamar adina,Adina mah langsung beberesih kamarna,Kamar adina mah ramé pisan,Adina mah rajin pisan meresihan kamarna,su
Maya jeung adina indit liburan,Maya milih liburan ka Bali,Adina Maya milih liburan ka Surabaya,Adina Maya henteu naék kapal terbang anu sami sareng Maya,Maya jeung lanceukna teu liburan babarengan,Maya nuju liburan ka Surabaya,su
Hasya rék ngamimitian muka usaha,Hasya Shop ngan ukur ngalayanan pembeli e-commerce,Hasya henteu muka kios pikeun usahana,Hasya ngalakukeun publisitas ageung pikeun tokona,Hasya ukur ngajual barang online,Hasya ngabereskeun daganganana nu rancunit dina rak,su
Ussy ngarasa yén sual panungtungan dina tés matematika kudu disallowed.,Angka dina patarosan ieu teu jelas.,Sababaraha barudak meunang patarosan kalawan nomer béda.,"Sanajan cara jeung jawaban anu ditulisna bener, tapi tetep salah lamun ngarujuk kana konci jawaban guru.",Ussy niat ngobrol jeung guruna engke waktu istirahat.,Ussy ngahajakeun ka imah.,su
Tiara leumpang muru koridor apartemen néangan ucing kesayanganna.,"Sabot anjog ka tungtung aula, Tiara manggihan ucingna.",Tapi ucing jeung batur.,Tiara langsung nyampeurkeun jeung ngabagéakeun batur nu keur méré dahareun ka ucingna.,"""Euh... hatur nuhun tos tuang anjeunna. Abdi milarian anjeunna,"" saur Tiara, muka kecap.","""Kumaha mun urang dinner bareng?"" ceuk Tiara.",su
Vallen geus saminggu teu sadar,Kulawarga Vallen hariwang ngeunaan kaayaan Vallen,Kolotna Vallen salawasna ngadoakeun anu pangsaéna pikeun budakna,Ramo Vallen ngaléngkah jeung panonna dibuka,Vallen geus hudang tina koma,Dokter nyatakeun Vallen maot,su
Unggal bulan para wanoja RT 2 ngayakeun silaturahmi,Gempungan sosial dilaksanakeun dina minggu kamari,"Gempungan sosial kali ieu, imah Bu Mira kapilih jadi tuan rumah",Bu Mira nyiapkeun masakan keur acara arisan engke,Anjeunna nyiapkeun rupa-rupa kueh tradisional sareng sangu kotak,Kabéh masakan éta pikeun kulawargana dahar,su
Ti isuk hujan gedé,"Nepi ka beurang, hujan teu eureun-eureun",Hawa jadi tiis pisan lantaran hujan,Kaayaan ieu ngajadikeun Juju males ngalakukeun kagiatan,"Ti isuk-isuk, anjeunna teu acan gugah tina ranjang",Juju bakal hiberna nalika hujan,su
Dona ngabagi-bagi jajan nu dibawana sarua.,Dinten ieu ulang taun Dona ka 17.,"Minangka tanda sukur, Dona ngala kuéh.",Istirahat ieu mangrupikeun waktos anu pas pikeun Dona masihan jajan ka babaturan sakelasna.,Babaturan Dona ngucapkeun rasa syukur bari ngadoakeun hal-hal anu hadé pikeun Dona.,Babaturan Dona protés naha aya tés dinten ieu.,su
Reno jeung Rian gelut di warung,Dua budak TK teh diajak meuli wadah patlot ku indungna,Aranjeunna kabetot dina kotak pensil ngawangun kawas mobil kaulinan,"Hanjakalna, ngan ukur aya hiji tempat pensil",Indungna nitah duaan néangan tempat patlot nu séjén,Ema ngabagi wadah patlot jadi dua,su
Ayeuna hese pisan Nara pisah jeung hapé.,"Malahan, waktu keur SMA, manehna teu make hp pisan.",Hal ieu ngajantenkeun anjeunna males dendam dugi ka teu puas nganggo telepon sélulérna.,Indung Nara hariwang panon Nara ruksak.,"Sanajan kitu, mojang tetep acuh jeung teu ngadangukeun nasehat indungna urang.",Mojang geus mimiti seuri sorangan nempo hp na.,su
"Prisa neuteup ka ucingna, Poci, bari nuduh.",Teko ngan meong bari ngaletak buntutna.,Hiji sapotong pingping hayam dina piring Prisa urang leungit.,"Prisa ngarasa Poci geus nyokot hayam, tapi lapar teuing mikir.","Prisa neuteup ka Poci, tuluy ngahakan sésa béas jeung dadar.",Prisa masihan inuman teko.,su
"Wendy, sahabat Arta, nyoba nenangkeun Arta.",Wendy nyaho yen Arta maksudna teu ngarugikeun ku nuduh Arta maling.,Arta ngan panik sabab kas kelas maranéhanana tanggung jawab Arta salaku bendahara.,Katambah-tambah jumlahna kacida gedéna lantaran karék ngumpulkeun duit keur kado keur anak Bu Ai.,Bu Ai karek ngalahirkeun.,Bu Ai kakara datang ka imah.,su
Zumba parantos janten olahraga anu rutin dilakukeun ku Okta sareng Inge.,Unggal malem Jumaah jeung Minggu isuk-isuk téh jadwal maranéhna pikeun nyokot kelas zumba.,Okta jeung Inge téh babaturan kantor nu geus kenal ti mimiti digawé.,"Dinten Jumaah, aranjeunna bakal angkat ka gim ti kantor.","Dinten Minggu, Okta bakal ngajemput Inge, anu imahna caket sareng gim, teras angkat babarengan.","Dinten Minggu, Okta bakal ngajemput Inge pikeun lalajo pilem di bioskop.",su
Titin menta baju anyar ka kolotna,Saragam Titin dirobek ku gunting,Titin ngagunakeun gunting pikeun nyieun karajinan,Kolotna Titin langsung meuli baju anyar Titin,Saragam Titin keuna gunting bari ngagarap karajinan,Kolotna Titin ngagaleuh Titin cocooan anyar,su
Isa henteu diajar saé di SMA,Isa teu neruskeun studi na,Isa gagal dina ujian asup universitas,Isa milih digawé pikeun mantuan kolotna,Isa digawé di bengkel bapana,Isa meunang beasiswa prestasi salaku murid exemplary,su
Rapat kulawarga kedah janten momen anu pikaresepeun,"Sanajan kitu, Elisa pernah resep datang ka acara kulawarga","Henteu ngan ukur Elisa, dulur-dulurna ogé henteu resep pisan dina rapat kulawarga",Kolotna sok ngabandingkeun prestasi anak-anakna,Perasaan teu ngarareunah ieu ngajadikeun Elisa salawasna nyalira di pasamoan kulawarga,Élisa undur ti kulawargana,su
Lira promosikeun tokona,Lira miharep beuki loba nu meuli nu datang ka warung na,Lyra hayang meunang loba kauntungan tina jualan,Lyra suksés kalayan strategi pamasaran na,Warung Lyra beuki kasohor,Lyra henteu gaduh toko,su
Evelyn hoyong pisan janten dokter,Evelyn hayang nulungan jalma nu teu mampuh,Kolotna Evelyn hoyong budakna angkat ka sakola bisnis,Evelyn teu bisa ngalawan kahayang kolotna,Evelyn nuluykeun studi na di sakola bisnis well-dipikawanoh,Evelyn jadi dokter berkat rojongan ti kolotna,su
Irene nyalahkeun dirina sorangan,Intan teu kedah naif teuing,Intan kaduhung kana carita hirupna,Intan kudu bangkit tina kaayaan,Haté anu rusak bakal ngajantenkeun Irene langkung kuat,Intan teu hayang neruskeun hirupna,su
Enzo sering meuli takjil di masjid deukeut imahna.,Aya rupa-rupa takjil anu dijual.,"Aya kompos cau, rupa-rupa gorengan, jeung sababaraha rupa inuman es.",Karesep Enzo nyaéta kolak cau sareng tahu boneka.,Enzo henteu hilap mésér takjil di dinya salami bulan Ramadhan.,Enzo henteu hilap ngalaksanakeun solat tarawih di masjid salami bulan Ramadhan.,su
Beja ngeunaan Ari geus dikonfirmasi.,"Ridho, ari sobatna, negeskeun kitu.",Ari ka SMA 2 mah mimiti bulan hareup mah.,Ari kalungguhan Présidén OSIS anu dicepeng ku Ari otomatis diganti ku wakilna.,"Ari kudu pindah sakola sabab bakal pindah ka luar nagri ogé, nuturkeun bapana nu gawéna jadi diplomat.",Oji kudu pindah sakola lantaran bosen di SMA 2.,su
Livie cicing deukeut gawir,"Lamun aya longsor, imah Livie bakal ragrag tina gawir",Peuting harita aya longsor di wewengkon imah Livie,Livie suksés diungsikeun,Imah Livie ruksak parah,Livie nyandak imahna jauh ti gawir,su
Rys resep make calana,Indungna Rys ngagaleuh rok anyar,Rys sok keuheul maké rok,Rys ngan ukur nganggo calana,Rys moal nganggo rok anu dibeli ku indungna,Rys indit ka tempat kaulinan maké rok,su
Kayla males pisan mandi,"Dina liburan, kadang anjeunna teu mandi pisan","Saméméh indit ka sakola, éta hésé pisan meunang Kayla mandi","Hasilna, awak Kayla jadi kotor jeung bau",Teu jarang kulit gatel sabab jarang mandi,Kayla reueus boga awak bau,su
Arya jadi regu pengibar bandéra,Arya jadi kareueus kolot jeung sakola,Arya ngangkat bandéra pusaka di karaton nagara,Pasukan anu mawa bandéra pusaka kudu ngaliwatan seleksi anu tangguh,Arya lulus seleksi pikeun jadi pasukan naékkeun bandéra pusaka,Arya teu hayang ngibarkeun bandéra,su
Bu Lala boga budak opat,Anakna nu cikal jeung nu bungsu téh lalaki,Anak tengahna awéwé,Unggal anak dilahirkeun dina jarak sataun,"Sanajan umurna padeukeut, sok akur",Bu Lala hayang boga budak deui,su
Bapa jeung indungna Farhyand geus cerai,Farhyand cicing jeung bapana,Indung Farhyand boga hak asuh Farhyand,Bapa Farhyand méré kabébasan pikeun milih,Farhyand milih cicing jeung indungna,Bapana Farhyand maksa Farhyand cicing jeung manehna ngagunakeun hak kolotna,su
Nirmala hayang pisan digawé,Kolotna Nirmala teu boga duit,Nirmala kakara rék bolos sakola,Nirmala bisa mantuan kolotna neangan duit,Nirmala teu hayang nyusahkeun kolotna,Nirmala ukur ngarti kana cara ngaluarkeun duit,su
Ema nuju ngagaleuh daster di pasar,Indungna kabetot kana tilu lalakon anu dijual,"Hanjakal, indungna kakeuheul duit dua puluh rébu","Ahirna, indung nawar lila jeung nu ngajual daster","Sanggeus rada lila nawar, ahirna indung meunang tilu lalakon",Indung maling dangdanan imah ti warung,su
Diar hayang boga baju anyar,Diar miwarang Ibu meuli baju anyar,Ema teu boga duit jang meuli baju anyar,Indung jangji rék meuli baju Diar mun meunang duit bulan hareup,Ema nolak meuli baju anyar keur Diar ayeuna,Diar minggu hareup boga baju anyar,su
"""Ajarkeun abdi janten kuat sapertos ibu,"" saur langit dina méja tuang wengi éta.","""Anjeun ngan ukur kedah ngatasi sagala halangan, Nak,"" jawab indungna bari seuri.","Langit jempé, siga nu keur mikir.","""Terus kumaha urang nungkulan halangan lamun urang teu kuat acan?"" nanya deui.","""Dina sorangan, halangan ngajadikeun anjeun kuat. Henteu masalah sabaraha maneh gagal, éta sabaraha kakuatan anjeun ngaronjat"" Indung bangun tina korsi jeung stroked sirah Langit urang.","""Maneh kudu olahraga unggal poe, Nak,"" walon indung kuring.",su
"Sabenerna, Tomi resep marengan lanceukna lalajo bioskop",Anjeunna pernah ngalaman masalah bade ningali pilem keur barudak,"Nurutkeun manéhna, film pikeun barudak ogé metot",Ngan aya hiji hal anu anjeunna henteu resep nalika ningali pilem barudak,Sababaraha barudak mindeng ceurik bosen di tengah pilem,Snacks pikeun barudak rasa amis teuing,su
Rinan mutuskeun balik ka lemburna,Teu aya deui alesan pikeun anjeunna cicing di ibukota,Rinan geus dipecat tina pagawéanana,Rinan ceurik dina beus,Rinan balik ka imah naék beus,Rinan dijemput ku kolotna ka ibu kota,su
Kayla kudu milu latihan,Kayla pas janten anggota pelatihan,Kayla kedah ngalatih mental sareng fisik supados langkung kuat,Kayla kudu bisa salamet nepi ka ahir latihan,Kayla suksés ilubiung dina pelatihan sareng janten anggota Paskibra,Kayla teu lulus seleksi jadi anggota Paskibra,su
Ema ambek pisan ka Zio,Waktos ieu skor kartu laporanna beuki handap,"Kanyataanna, Zio aya dina bahaya mun teu diwanohkeun ka kelas",Indung mutuskeun pikeun ngahukum Zio,Anjeunna ngalarang budakna maén game upami peunteunna henteu ningkat,Zio teu bisa dahar keur semester hareup,su
Ayva roller skating,Ayva boga babaturan alus,Babaturan Ayva namina Kitty,Kitty teu tiasa roller skate,Ayva ngajarkeun Kitty kana roller skate,Kitty teu hayang babaturan jeung Ayva,su
Siska geus lila teu olahraga,Ayeuna anjeunna kaleuwihan beurat,Awakna beurat jeung gampang capé lamun keur aktip,Siska mutuskeun pikeun rutin olahraga deui,Anjeunna dimimitian ti lightest olahraga ngalakukeun,Anjeunna langsung latihan ngangkat beurat sapopoe,su
"Panon Hana nu neuteup kana jandéla hareupeunana, ngadadak peureum.",Teras dibuka deui.,Teras ditutup deui.,Hana saré pisan.,"Hana kakara saré salila 2 jam, ayeuna manéhna kudu aya di kantorna pikeun rapat.",Hana hayang dahar sushi.,su
Ben néangan konci imah di unggal juru imah,Adina Ben mawa konci cadangan panungtungan,Ben mutuskeun pikeun duplikat konci imah nalika adina datang ka imah,Ben teu tiasa angkat sareng kedah aya di bumi,Ben ngurus imah lantaran geus teu boga konci serep deui,Ben ulin jeung babaturanana di gang boling,su
Aldo ayeuna nuju latihan nasional,Salah sahiji latihan anu dituturkeun Aldo nyaéta survival,Aldo kudu bisa ngarayap jeung jadi hiji jeung taneuh,Aldo tiasa ngalakukeun éta saé pisan,Aldo éta pamilon pangalusna dina latihan,Aldo teu bisa ngarayap dina taneuh,su
"Anjog ka luhur, Nara inget kana susu kécap rasa coklat nu dipaparinkeun ku batur.","Dina waktos éta aranjeunna ogé naek ka puncak, anu tangtosna béda ti puncak anu didatangan ku anjeunna ayeuna.",Inuman ieu ogé sering dipasihkeun nalika jalma gering.,Tapi ayeuna Nara henteu terang kumaha kaayaan jalma anu masihan susu kécap rasa coklat.,"""Mudah-mudahan anjeunna henteu kunanaon,"" saur Nara, ngarenghap.",Nara lesot lantaran taneuh leueur luhureun puncak.,su
Dany resep pisan tuang otak,Ibu masihan seueur otak ka Dany,Dany kedah ngabagikeunana sareng adina,Dany ngaréngsékeun uteuk sorangan,Adina ceurik lantaran teu kabagean otakna,Dany tuang otak sareng adina,su
Aiden hésé pisan mikir sacara rasional,Aiden sok nganggap kanyataanana nurutkeun kahayangna,Aiden naif pisan ngeunaan kahirupan,Aiden henteu paduli kana kasalahanana,Aiden sok nyalahkeun batur,Aiden bisa narima kanyataan nu teu luyu jeung kahayangna,su
Mario indit ka imah Caesar urang.,Aranjeunna parantos jangji badé maén PS babarengan soré ieu.,Kagiatan ieu ngahaja jadi rutin.,"Mimitina, Caesar ngan ngajak Mario ka imahna pikeun senang maén PS.",Tapi katingalina aranjeunna resep pisan yén aranjeunna janten rutin unggal sabtu minggu.,Tapi tétéla maranéhna téh tatangga.,su
Robin gelut jeung Jason,Jason ditinju Robin dina rahang,Jason kesel ku kalakuan Robin,Robin ngabales perlakuan Jason,Robin jeung Jason geus gelut fist,Robin teu bisa ngalawan,su
Zira murid kalapa,Anjeunna salawasna hayang jadi pangalusna,Anjeunna salawasna nyobian unggul dina widang akademik jeung non-akademik,Rumaja éta digawé teuas ku diajar sarta ilubiung dina sagala rupa kagiatan ekstrakurikuler,Kateguhan Zira jadi panutan pikeun sasama,Upami aya murid anu langkung saé Zira bakal nyéépkeun anjeunna,su
"""Naha anjeun yakin yén batur bakal robah unggal poé?"" Sakumaha biasa, anjeunna sok pinter muka topik obrolan.","""Enya"" jawab kuring bari nyiuk cau nu karek dibeuli.","""Maksudna anjeun moal nahan dendam lamun aya anu nganyenyeri anjeun, sabab bisa jadi hasil tina pikiran kamari,"" pokna deui.","""Hmm, anjeun leres, meureun kuring teu kedah mungkas silaturahim ngan kusabab masalah kaliwat,"" kuring ngajawab rada datar, tanpa nempo manehna.","""Abdi ngartos, hal anu goréng pasti bakal langkung seueur kesan. Tapi cobian nampi pangapunten"" anjeunna ngajantenkeun kuring mikir deui sareng létah kuring beuki keuheul pikeun ngajawab.","""Muhun, hayu urang naek motor, urang telat,"" jawabna deui.",su
Dinten ieu Khanza ditegor ku atasan na,Anjeunna ngalakukeun kasalahan dina padamelan anu dipasihkeun dua dinten ka pengker,Laporan anu didamelna henteu saluyu sareng standar perusahaan,Luhurna naroskeun ka Khanza pikeun ngabenerkeun laporan anu didamelna,Khanza nyuhunkeun dihapunten tina lalaworana sareng ngabenerkeun laporanana,Khanza keuheul sabab ngarasa salah jeung nolak parentah atasannya,su
Fila hayang ngadahar apel,Fila mendakan apelna dina kulkas,Fila nyeuseuh jeung mesek apel,Leungeun Fila ngadadak getihan,Fila keuna ku peso bari mesek apel,Fila henteu resep sayuran sareng buah,su
Sarerea bakal meunang naon anu geus dibikeun,Rosi ngabohong ka babaturanana ngeunaan hirupna,Rosi teu hayang karunya,Rahasia Rosi kabongkar lantaran kaceuceubna sorangan,Rosi geus teu dipercaya deui ku babaturanana,Rosi geus jujur ka babaturanana ti mimiti,su
Emmy néangan kantongna di kamar,Emmy henteu mendakan kantongna,Emmy nanya ka jalma-jalma di rohangan,Jirai manggihan kantong Emmy,Emmy hatur nuhun Jirai,Emmy nampi yén kantongna leungit sareng henteu milarian deui,su
Patricia nyaéta anak pamungkas ti tilu murangkalih.,"Adina nu kahiji, Patra, geus kawin jeung cicing di kota hareup.","Lanceukna kadua, Praveen, nembé lulus ti universitas kalayan gelar sarjana.",Praveen sareng Patricia umurna 5 taun.,Patricia masih di SMA ayeuna.,Patricia masih di TK ayeuna.,su
"“Sok-sok tingali ka daérah-daérah séjén, contona kampung kuring,” walon si nara sanggeus ngadéngé keluh-kesah bumi ngeunaan tempat-tempat liburan anu pikaresepeun.","""Aya naon di kampung anjeun?"" Bumi nyedek.","""Aya loba. Aya laut, pulo, gunung, walungan, situ laut hirup, curug..."" jawab Nara bari nebak.","""Hmmm, meureun di daerah sanes aya teu?"" ngabantah bumi deui.","""Aya atuh tangtosna,"" ceuk éta awéwé yakin, seuri bumi.","""Sabenerna kuring asalna ti Jerman,"" ceuk éta mojang.",su
Meta resep pisan sup lauk,Gifa teu resep lauk,Meta ngajak Gifa ka imahna rék ulin,Meta nawarkeun sop lauk ka Gina,Gina gently nampik tawaran Meta urang,Gina kapaksa ngadahar sop lauk,su
Soré éta panonpoé panas pisan,"Sanajan kitu, palajaran olahraga dituluykeun",Fiona panas jeung kulitna beureum,Ngadadak mimisan,Guru PE nya nitah Fiona indit ka rumah sakit,Guru senamna ngirangan nilai Fiona kusabab mimisan,su
Imah Amira ayeuna poek pisan,Hésé pisan cahaya panonpoe asup ka imahna,Tatanggana sabudeureun imah keur ngarenovasi imah,Imah tatangga direnovasi jadi dua tingkat,Balukarna cahaya panonpoe asup ka imah Amira kahalang ku imah tatanggana,Imah Amira tilu lanté,su
Hyde nyaéta atlit,Hyde bakal jadi wawakil sakola pikeun kompetisi lari nasional,Hyde ngalaman tatu nalika latihan,Hyde maksa dirina balap,Hyde teu bisa ngagerakkeun sukuna sanggeus balapan,Hyde teu bisa lumpat gancang,su
Reno mindeng teuing puguh ganti baju na,"Sanajan késang atawa baseuh, manéhna teu ngarareunah","Hasilna, Reno mindeng meunang tinea versicolor",Punggungna gatel sareng pinuh ku tinea versikolor,Anjeunna kedah rutin ngolesan tonggongna ku salep,Punggung Reno dihias indah ku tinea versicolor,su
"Moal lami deui, lanceukna Leo urang bakal ulang taun",Lanceukna resep pisan kana lauk,Malahan budak leutik sok make baju motif lauk,Leo ngarasa yén lanceukna leutik anu resep lauk éta pisan pikaresepeun,"Ku alatan éta, Leo meuli adina lauk leutik salaku kado hiji","Dina ulang taunna, Leo nempatkeun lanceukna dina akuarium supados anjeunna tiasa sapertos lauk",su
Dori meunang mobil anyar keur ulang nya,Dori diajar nyetir mobil,Dori indit ka jalan gedé,Dori eureun nalika lalulintas robah beureum,Dori nyoba taat aturan lalulintas,Dori terus ngebut nalika lampu lalulintas beureum,su
Rihana teu make sendal,Dampal Rihana nincak paku,Dampal suku Rihana ngaluarkeun getih,Rihana ngagaduhan inféksi,Tapak Rihana katépaan ku paku nu ditincak,Suku Rihana bisa nahan objék naon waé,su
Suku Rayana tijalikeuh.,Rayana ragrag bari maen futsal tadi isuk.,Ayeuna sukuna nyeri nalika leumpang.,Rayana soré ka klinik kampus jeung Novian babaturan futsalna.,Novian geus jangji baris marengan manéhna alatan manéhna teu bisa leumpang tanpa bantuan,Novian geus jangji rék meuli sapatu futsal anyar.,su
Izzati pernah nyaho bapana,Indungna Izzati mindeng ceurik peuting,Izzati sono pisan ka sosok bapa,Indungna Izzati henteu kantos nyarios ka kuring ngeunaan bapa Izzati,Izzati téh anak tina hubungan terlarang,Bapa Izzati sok nangkeup Izzati samemeh sare,su
Padahal Nanda geus diingetkeun sangkan tartib dina patalimarga,"Tapi, manéhna teu ngadéngé",Nanda ditikétan teu maké helm,SIM Nanda kudu disita ku pulisi,"Pikeun nyandak deui, Nanda kedah hadir pangadilan",Nanda ngajual motorna lantaran teu boga SIM,su
Buuk Mila awut-awutan,Babaturan ngan ukur nempelkeun karét kana buuk Mila,Buuk Mila ayeuna awut-awutan,Karét téh hésé dicabut,Buuk Mila kedah dipotong kanggo nyabut karét,"Nalika ngadahar karét, jalma tiasa ngabentuk balon",su
Hira rék nulis ku pulpén,Hira néangan bekel pulpénna,Stok pulpén HIra béak,Hira muru ka toko buku,Hira meuli pulpén anyar di toko buku,HIra masih gaduh 3 pulpen anu teu acan dianggo,su
Avril kabur ti imahna,Avril kudu digawé pikeun nafkahkeun kulawargana,Avril geus jadi tulang tonggong kulawargana saprak bapana maot,Avril teu kungsi ngawadul bari digawé,Avril enjoys karyana kalawan senang,Avril ninggalkeun imahna pikeun digawé unggal poé,su
Antukna Yoyo jeung Zian ngadéngékeun sagala.,"Geus aya di kelas, tapi geus nangtung hareupeun panto kelas.",Sedengkeun anu séjén dina posisi diuk di lantai.,Yoyo jeung Zian bingung kudu kumaha cara silih bébéjakeun naon nu katingali dina CCTV.,"Sanggeus ngadéngé sagala carita Acha jeung ningali réaksi Tarra, maranéhna ngarasa lega.","Sanggeus ngadéngé sagala carita Acha jeung ningali réaksi Tarra, maranéhna ngarasa lapar.",su
Tora tiasa janten sapertos kalong,Tora tiasa ningali dina poék,Tora ngalatih dirina pikeun ngabiasakeun poék,Tora tiasa nganggo sorana pikeun ngadeteksi lingkunganana,Tora bisa nangtukeun posisi lawanna dina poék,Tora ukur bisa ningali dina kaayaan caang,su
Azhar milu pasanggiri robotika,Azhar bisa nyieun robot pikeun mantuan arsiték,Azhar dianggo salaku hiji tim,Tim Azhar meunang kompetisi robotic,Azhar sareng timnya ngagungkeun kameunanganana,Azhar miluan kompetisi robotika nyalira,su
Ika jadi saksi narkotika,Ika dibawa ka kantor pulisi pikeun dipariksa,Ika kudu ngalaporkeun sagala kalakuan nu katingali,Ika nyarioskeun sadayana kalayan jujur,Ika ngajadikeun palaku narkoba dihukum beurat,Ika jadi tukang dagang narkoba,su
Kulawarga Mina nyaéta kulawarga musisi,Nini Mina nyaéta saurang pamaén piano,"Nalika anjeunna ngora, kolotna Mina ngagaduhan band","Samentara éta, lanceukna Mina nuju diajar biola",Mina ogé hoyong tiasa maénkeun alat musik,Musik téh alus pikeun ngembangkeun otak fétus,su
Pamela leumpang ka lomari kantor rék nyiduh jasmine tea.,Wanci dahar beurang geus anjog.,"Tapi Pamela teu ngarasa lapar, ngan hayang nginum.","Sesampainya di pantry, Pamela nepungan Joshua anu keur ngagolakkeun cai panas keur kopina.",Maranehna galecok bari nungguan cai ngagolak.,Omong-omong ogé bari ngadahar Nasi Padang.,su
Fina bakal ngalakukeun poto yearbook,Fina ngagem baju anu rapih sareng sampurna,Fina hayang jadi panggeulisna,Fina daék nahan diri teu pira,Fina jadi sorotan lantaran tabahna,Fina ngan hayang némbongan normal dina acara buku taunan sakola,su
Tama ngarasa lapar sanajan jam geus nunjuk 10 peuting.,Tama nyoba nahan rasa lapar.,"Sajam kaliwat, Tama masih teu bisa saré sabab beuteungna terus ribut.",Tama nyandak sesa keripik kentang ti soré ieu anu aya dina méja di kamarna.,"Kripik ubi tétéla béak, sangkan Tama maksakeun dirina bangun néangan kadaharan séjénna.","Kiripik kentang dipénta ku Rana, lanceukna.",su
Wanda ngarasa keuheul lantaran ditipu.,Barang-barang balanjaan online Wanda kakara datang.,Tétéla aya sababaraha barang anu henteu aya dina bungkusan saatos dibuka.,Wanda nyobaan ngahubungi toko tempat meulina.,Wanda beuki keuheul lantaran warungna teu ngajawab teleponna.,Wanda beuki keuheul lantaran can dahar.,su
Geus jam 7 peuting Nina karék nurut tanpa nanya kamana dibawana.,"Tapi béda jeung biasana, waktu ieu Dani ngan cicing di sapanjang jalan.","Teu lila, Dani ngeureunkeun motorna di tempat anu rada sepi.","""Hayu,"" ceuk Dani, nyekelan leungeun Nina naék kana tangga anu aya lampu di dua sisi.",Nina reuwas ningali éndahna lampu-lampu dayeuh sanggeus nepi ka tungtung tangga.,"Di jalan, aranjeunna papanggih jeung salah sahiji babaturan Dani.",su
Dodi mangrupakeun programmer terampil di PT KMK Labs,Anjeunna gaduh pangalaman jero tina sababaraha basa program,"Upami aya masalah dina pamekaran parangkat lunak, sadayana naroskeun ka anjeunna",Anjeunna ogé ramah,Sarerea di PT KMK bagja jeung manehna,PT KMK bakal ngantunkeun anjeunna ka bumi kusabab somahna,su
Peuting ieu Diana sedih.,Anjeunna karek ditinggalkeun ku jalma anu anjeunna resep.,Diana nelepon ECI pikeun nganyatakeun sagala keluhan na.,Eci méré naséhat sangkan Diana teu sedih deui.,Tapi Diana masih sedih jeung teu bisa narima pamadegan séjén.,Diana sabenerna gadis bageur.,su
