sentence_1,sentence_2,sentence_3,sentence_4,correct_ending,incorrect_ending
"Sorenya, Gera ngajak urang ka Leuwi Jurig",Gera teu bisa diajar di nu lapang,Gera miwarang bapana ngaganti gentong cai di buruan,Bapa nyumponan paménta Gera,Gentong cai di buruan Gera hurung deui,Gera teu boga buruan
Ningali résep pisan nu maén kaulinan séjén di Pasar Kaget,Ningali ngagunakeun handphone pikeun ngakses kaulinan séjén di Layanan Digital,Urang sering leungiteun waktu nalika ngalaankeun kaulinan di Sawat Sunda,Ningali miharep janten di dunya kaulinan Jaipongan,Ningali méakkeun waktu nya maén ngalaankeun kaulinan séjén di Taman Mini Sunda,Ningali tiasa ngabagi waktosna saé pisan kaulinan di Majlis Keceriaan
Cinta butuh Alesan,"Alva sok ngalakukeun hiji hal tanpa alesan, sigana mah ngalakukeun tradisi Sunda",Alva nolak pangakuan cinta Marven di tengah-tengah Upacara Seren Taun,"Marven patah hati ku perlakuan Alva, terus ngadangukeun lagu Sunda","Alva teu bogoh ka Marven, terus balik ka Batanaeun",Alva ends up dating Marven sarta ngadakan pernikahan adat Sunda
Atikan mangrupikeun hak sadaya urang Sunda,Pamaréntah fokus kana ngaronjatkeun atikan di Jawa Kulon,Murid di sakola Dasar (SD) ngarasa dampak parobahan kurikulum,Kurikulumna dirobah pikeun nyaluyukeun ka kamajuan téknologi jeung ngabantu ngajaga budaya Sunda,Kurikulum di Jawa Kulon geus ngalami parobahan pikeun ngajaga budaya Sunda,Barudak jalanan di Bandung teu boga hak kana atikan
Peuting ieu manéhna ujug-ujug datang ka hareup imah kuring jeung mawa bika ambon.,"Sakumaha biasa, anjeunna bakal datang ka kuring nalika anjeunna bosen sareng kahirupan pasantrenna.","Naha anjeun terang? Aya anu bosen ngalakukeun kajahatan upami dipasihan kabébasan pikeun ngalakukeunana, pokna bari nyeuseup tuangeun.",Ceuk saha éta teori?,"Tingali di Bandung, leuwih ti satengah populasi nyayian wayang golek tapi bisa dikawasa ku adat istiadat",Dinten anjeunna ngagem jaket biru anu kuring masihan anjeunna kanggo Maulid Nabi.
Dwi nguliah di pesantren Sunda kalayan béasiswa ti abdi dalem,Dwi deukeut jeung juru dagang beunghar ti Kota Bandung,Yoongi nyaéta juru pantun kasohor anu kasohor ku penampilanna di acara hajat Sunda,Yoongi sering masihan artos sareng barang gratis ka jalma anu caket sareng anjeunna di kampung halamannya,Yoongi nutupan biaya SPP Dwi sabagé bentuk beasiswa,Dwi ngalamar jadi panjak di lingkungan keraton kauntungan pikeun ngabantuan Yoongi
Yana jeung adina resep pisan ngajengkeb batagor,"Saban poé, menu dahareun maranéhanana kudu ngawengku batagor",Yana resep pisan karedok,Biasana anjeunna nyampur taoge sareng kacang panjang,"Samentara éta, lanceukna estu resep nasi timbel",Adina teu resep ngajengkeb surabi
Arta wajib ngiring Wayang Golek,Wayang Golek téh seni tradisional urang Sunda,Arta kudu ngababarkeun dirina di acara adat anu ditunjuk ku karuhunna,Arta hayang jadi pamingpin pikeun kumpulan réréongan di kampung halamanna,Arta milu ngiring Wayang Golek anu diwajibkeun ku kolotna,Arta nolak ngiring Wayang Golek
Ilyas nutup carita pantun dina leungeunna.,Geus saminggu manéhna maca carita Wayang Golek.,Biasana Ilyas teu lila maca carita rakyat Sunda.,"Tapi, lobana tugas kuliah hartina Ilyas ngan bisa maling waktu maca carita pantun dina Basa Sunda.","Tungtungna, anjeunna ngan réngsé maca buku sanggeus saminggu ti mimiti maca éta, terus ngaréngsekeun ngapungkeun kawih Sunda di pagelaran.",Tungtungna anjeunna nyumbangkeun angklung.
Kuring leumpang ngaliwatan wangunan masjid agung heubeul nepi ka kuring sadar suku kuring geus stepped on hal.,"Kuring ngangkat suku, tuluy nempo sajadah munggaran.",Sajadahna aya salembar kertas leutik nu eusina carita.,"Sigana mah pantun Sunda, tapi teu aya nami pangarang atawa judulna.","Hampura, sajadah téh milik kuring,",Tungtungna mah kertas jeung sajadah dirérét.
Kuring hayang nonton wayang kulit di TV,Rama ogé hayang nonton wayang kulit di TV,Kuring can nungguan angklung dipintonkeun,Rama geus nungguan angklung dipintonkeun téh,Rama diperenahkeun nonton wayang kulit ku Ramana,Rama kudu nungguan angklung dipintonkeun
Barudak ngariung di buruan Ci Sancang,Sorana rengrengan pisan ku suara gondang,Seuri seuri ngariung ngaliwatan pasir,"Sanajan ti jero lembur, kuring masih kadéngé sorana",Kuring ngarasa kaganggu pisan ku suara rame,Kuring ninggalkeun lembur jeung ngariung sabudeureun sareng maranehna
Abi ningali anak ucing anu murag ka pangkalan Ciater.,Anak ucing teu sadar aya solokan di hareupeunana nalika leumpang ka pasar Kaget.,"Abi langsung lumpat ka solokan, ngawangun pasiru kawas nu biasa dibawa ngajaul ka masjid.","Anjeunna nyandak anak ucing taliti tina solokan, tuluy dibawana ka imah.","Anak ucing langsung ngaringkuk dina panangan Abi, tiis baseuh kawas sanggeus mandi di situ Gunung Tangkuban Parahu.","Anak ucing bodas jeung kulawu, kawas baju adat Sunda nu biasa dipaké dina upacara adat."
Ailin ceurik ningali awak lanceukna hareupeunana di kebon batu nu aya di Garut,Ailin ukur dibaturan ku kolotna nu ngajajar di pasar Sukapura,"Kolotna Ailin gaduh 2 budak, Ailin jeung adeyna, nu resep ngalengkepan jahe nu diasakan ku indungna",Adina Ailin jangji rék dibawa ka pantai Palabuhanratu pikeun ngamumule,Jangji adina Ailin teu bisa dicumponan sabab Ailin kapeleset di tangga nu aya di imahna,Adina Ailin keur ngayakeun kemah di gunung Tangkuban Perahu
Dinten ieu Abah ngundang ngahadiran uleman seserahan,Panganten awewe teh putri tina baturan indungna tina pasantren,Ibu jeung Rina hadir marengan indung,"Sesampainya di leuit, aranjeunna ngeusian buku tamu di panyawangan","Sanggeus éta, maranéhna ngawilujengkeun panganten pamaos",Maranehna langsung ka imah sanggeus meunang uluk salamet
Motor Arvin nincak paku di jalan ka Pasar Baru,Arvin langsung indit ka bengkel pangdeukeutna di Cimindi,Arvin buru-buru milu rapat di Dinas Pariwisata Tasikmalaya,Arvin ninggalkeun motorna tuluy naek ojek ngaliwatan Situ Gede,"Arvin sumping tepat waktu dina rapat, terus asup masjid kaasup solat",Arvin indit ku mobil ka Bandung
Dinten ieu dinten ngarajakeun hajatan pernikahan Yona.,"Zoe, batur ti jaman baheula ujug-ujug muncul dina acara ngarajakeun.","Selamat hajat, Na... Zoe masihan kembang sareng langsung nangkeup Yona.",Kamana wae?,"Nyiapkeun pikeun dinten ayeuna, sareng ngarajakeun hajatan anu bakal datang. Dupi anjeun siap ngarajakeun di Sasaka Domas, Lembur? Zoe ngaluarkeun cingcin jeung tuur hareupeun Yona.",Zoe jeung babaturan asup ka kamar papanggih Yona di Imah Kacamatan.
Hasyu rék ngadahar sate maranggé,Fusion ngalawan hasiat ubar Hasyu,Hasyi kaserang panyakit maag,Hasyu ukur bisa nginum cai tiwu,Fusi ngabeledkeun sate maranggé keur Hasyu,Hasyu teu resep ngadahar sate maranggé
Adina geus ngadatang ka pesta rakyat di Dayeuhkolot,Kuring geus ngajajal hayang nulungan anjeun na keur ngadepes,"Tapi beuki ngadengerkeun karawihan, beuki ngagerendeng",Karasa ku pupusna degung na nu ngaranna Sariwangi,Adina mah nyaah pisan ka Sariwangi,Adik nganuhunkeun ka Sariwangi tilar dunya lantaran kacida nyusahkeunana
Indung Lulu gering ku sabab tiis,Lulu kudu meuli ubar keur indungna nu keur ngalangan,Lulu indit ka pasar kangkung pangdeukeutna pikeun meuli jahe,Lulu meunang ubar tradisional nu diperlukeun indungna,Lulu mantuan indungna nginum bandrek,"Lulu teu paduli lamun indungna gering, terus ngalanglang ka sawah"
Zari ngalaman musibah,Imah Zari kahuruan,Kahuruan lumangsung alatan korsleting,Zari teu boga tempat cicing jeung harta banda deui,Ngari-ngari imah Zari katut sagala barang-barangna kaduruk jadi lebu,Zari ulin jeung adina di kamar bari nunggeun wayang golek
Panon Mamat geus beureum ti peuting kawas bako ngabersihan piring,Panonna ogé terus ngeclak siga kaulinan deungkeng,Anjeunna senang maén kaulinan sapeuting di sawah di buruan,Ahirna panon Mamat jadi garing siga daun tahu ngabersihan,Anjeunna kedah nganggo tetes panon pikeun nyageurkeun panonna sapari sapari,Anjeunna ngumbah panonna nganggo cai sabun nu dicampur jeung parfum bunga
Paskal ngurilingan komplek perumahanna sambil nginum bandrek.,"Kabiasaan sapédah dimimitian ku ondangan babaturanana, Rasyid, sanggeus ngajudulan.","Ayeuna Paskal sabenerna leuwih sering ngabuburit ti batan Rasyid, anu ngan ukur dina sabtu minggu pikeun ngalengkep kaperluan sehari-hari di pasar tradisional.",Saban poé Paskal hudang jam satengah 5 subuh pikeun ngurilingan sajam ka Situ Gede.,"Bérés sapédah, Paskal langsung mandi jeung siap-siap rék ka kantor ngagunakeun baju has Sundanesa.",Bérés sapédah Paskal langsung ka imah Rasyid pikeun ngajajal émpanna Rasyid.
Beuteung Dika ngadadak keresek nalika keur nangtung ngadengé kesenian tradisional Sunda,"Anjeunna nyengir nahan kanyeri kusabab nyeri anu nyiksa, siga ngadéngé gitar Péntungan","Babaturan Dika langsung mantuan Dika nu keur nyeri, diajaran ku Dika pikeun ngayakeun lagu Sunda","Maranehna ngajak Dika ka UKS pikeun ngubaran beuteungna, satiap ti mawa inuman anu tradisional, kuéh Bika Ambon","Dika ngaku beuteungna kram alatan nginum inuman anu tiis nalika beuteungna kosong, sabab nginum es dèngdèk","Babaturan Dika teu kungsi nyeri beuteung, tapi maranéhna tetep ngubaran Dika nganggo cara tradisional Sunda"
Ujang nyaéta pajabat pamaréntahan nu tanggung jawab kana konservasi Situ Bagendit,Ujang henteu hoyong Situ Bagendit dieksploitasi ku pangusaha tambang,Ujang henteu masihan idin ka saha waé anu hoyong ngarusak lingkungan di sekitar situ,Ujang ieu hated ku loba pangusaha tambang nu réa ngahaja ngahaja di Priangan,Pangusaha tambang ngahiji pikeun ngaleungitkeun Ujang tina pamaréntahan,"Ujang meunang suap ti pangusaha tambang, nu ngamungkinkeun maranéhna nulungan lingkungan"
Daisy hayang ngahontal puncak Parahyangan,Daisy dipenta pikeun ngarasakeun sakabéh prosés ngamumule nyieun banten,"Daisy ngarasa sagala kanyeri jeung kabungahan waktu nepi ka puncak Parahyangan, ngarasa kaulinan nu geus dirina",Daisy bakal salawasna bangun lamun manehna kudu ragrag jeung ngabakti ka leluhur Sunda,"Daisy pisan wijaksana dina kahirupan, luyu jeung ajaran ajengan Sunda","Daisy ngalakukeun sagalana manehna bisa pikeun ngahontal puncak kamulyaan dirina, tapi teu ngabakti ka leluhur"
Buuk Mitha geus nepi ka cangkéng,Karasa panas lantaran buukna panjang teuing,Mitha indit ka salon pikeun motong rambutna nu panjang kawas rambut Srikandi,"Ayeuna buuk Mitha ngan panjang punduk, siga rambut putri ti Priangan","Manéhna bungah lantaran buukna geus teu panas deui, cocok pikeun ngalakon ngalungguhan","Mitha ngajambak deui buukna, nepi ka leuleus teuing siga kuda nu keur ngagoréng"
"Waktos gancang pisan, Mega geus lila teu ngayonkeun ngaliwatan waktos di Pasar Baru, Bandung.","Tanpa disadari, ieu téh semester pamungkas Mega di SMA Negeri 1 Bandung.","Mega dicabak antara dua pilihan utama pikeun kuliah, nyaéta Sastra Sunda atanapi Bahasa Inggris di Universitas Padjadjaran.","Pikeun kampusna, Mega bakal ngadaptar di wewengkon Jabodetabek sabab indungna teu ngidinan diajar jauh ti imah di Cimahi.","Mega sorangan teu panggih di kampus mana, asal bisa ngulik hal-hal anu dipikaresepna, saperti ngulik carita pantun Sunda.","Mega sorangan hayang diajar bari digawé di warung kopi di Dago, Bandung."
Jarvis dina prosés nulis karangannya pikeun upacara adat Sunda,Jarvis kedah ngalaman révisi ngahasilkeun karangan anu leuwih alus,Jarvis parantos ngarévisi karangannya sababaraha kali pikeun ngahontal hasil anu saé,Jarvis hoyong geura-giru lulus pikeun ngahormat kolotna,Jarvis nyaéta murid taun ahir anu siap ngalakukeun upacara adat Sunda,Jarvis milih tugas ahirna pikeun ngalakukeun pagawéan praktis di sawah
Nini resep pisan balanja di pasar tradisional Buitenzorg,"Unggal minggu, nini teu kungsi reureuh nganjang ka éta tempat pikeun meuli keuripan","Sababaraha nu ngajual di pasar tradisional malah kenal ka Nini, nu geus lila ngajual batik Sunda","Sakapeung, nini-nini mawa incu keur balanja baju adat Sunda",Anjeunna ngagaleuh incuna sagala rupa baju adat Sunda sareng cocooan kusabab anjeunna ngiringan balanja,"Incuna kabur nalika nini teu jaga, nu keur ngudag-ngudag batik Sunda di pasar"
Farlots milu dina dua pasanggiri anu diayakeun ku BEM UNS nu ngawakilan Universitas Padjadjaran,Farlots nyandak bagian dina kompetisi Business Plan karya budak leutik Sunda,Farlots asup kana kompetisi ngitung raramat duit perusahaan tani teh Ciater,Ngitung raramat duit perusahaan tani teh sareng kompetisi Kasus Usaha dilaksanakeun dina dinten anu béda di kota Bandung,Farlots nyandak bagian dina kompetisi ngitung raramat duit perusahaan tani teh Salasa sanggeus nyokot bagian dina kompetisi Business Plan karya budak leutik Sunda on Senén,Farlots ngan bisa ilubiung dina salah sahiji kompetisi sabab duanana kompetisi dilaksanakeun sakaligus di bulan Ramadhan
"Soré éta kuring ngan hayang balik ka imah gancang, sanggeus nonton wayang golek di pendopo.","Ngan hayang ngaleupaskeun sagala ketang nu masih rada macet di kelas, supaya bisa ngiringi acara ngawitan batik di kampung.","Tétéla éta leres, unggal dinten pinuh ku kejutan, siga waktos lebaran ketika batur kuring mawa makanan éndog.","Naha éta hal anu saé atanapi anu goréng, tapi kuring hayang ngalakukeun hal nu séjén, siga ngajak batur kuring nginum bandrek di warung.","Hanjakal, kuring meunang kejutan geulis goréng kiwari, kuring dibéré batur kuring réngsé sumpingan éndog lebaran.","Kuring kaluar kelas ceurik dina leungeun salah sahiji babaturan kuring, anu ngabalesan kuring ngagélémbérkeun dompet kuring pas ngalanglang dina acara ngawitan batik."
Ari Farhan ulang taun di kampung lemah cai.,"Kakasihna, Eci, masihan kejutan anu teu disangka-sangka, sigana bae ngajak dugi ka Gunung Tangkuban Perahu.",Eci masihan kado parfum khas Subang sareng kue ulang tahun anu rasana urang Sunda.,"Sanaos hubungan jarak jauh, Eci tetep berinisiatif masihan kejutan anu ngahargaan budaya Sunda.",Eci titipkeun kado ulang taun ka salah saurang babaturan Farhan nu ngaranna Yoga anu keur kuliah di Bandung.,Farhan tos lami ngantosan ECI dugi ka Jogja pikeun nonton Wayang Golek.
Putri meunang panglajaran anonim,Putri muka panglajaran gugupay,Panglajaran asalna ti dayeuh sabalikna,Adina putri urang keur tugas di dayeuh sabalikna,Panglajaran anu ditampi Putri asalna ti adina,Putri cicing di dayeuh anu sami sareng anu ngirim panglajaran
Rama ngan boga 3 sadulur nu kacida deukeut jeung budaya Sunda,Retha sareng Rana mangrupikeun sadulur kembar Rama nu resep ngalongok ka Upacara Seren Taun di Cigugur,Ratih téh adina Rama nu bungsu nu terus ngiring-ngiring ibing jeung ngigel ngaliwatan Jaipongan,Caros cicing di imah Rama nu pernah ngadeg di Lembur Situ Ciburuy ,"Retha, Rana jeung Ratih téh lanceuk-lanceuk Caros nu teu tahan ngadengar lagu-lagu Sunda",Caros nyaéta lanceukna Rama nu teu acan ngalungkeuhan batik Sunda
Jimmy nyaéta lalaki ngora pisan ganteng ti Bandung,"Umurna kakara 18 taun, tuluy dia diangkat jadi ronggéng di dayeuh Bandung","Anjeunna campuran Sundanes, ti subang jeung Batawi, Jawa Barat",Pesona na ngajadikeun anjeunna dipikacinta ku loba katresna ti sabudeureun priangan,"Fisik na kacida menawan pisan, siga lalaki priangan jaman heubeul","Jimmy boga raray biasa, siga lalaki nu ngajual peuyeum di Pasar Baru"
Aki ngarasa lapar sanggeus ngalongok Wayang Golek,Aki teu mawa bekel ti imah,Aki ngagunakeun waktu istirahatna pikeun meuli peuyeum,Aki teu boga waktu pikeun dahar di warung,Aki ngadahar peuyeumna saméméh ngabubuhan pupuh,Aki dahar beurang di warung
Hisa meuli arloji di toko online di Bandung,Bungkusan Hisa kakara datang dari Jakarta,Hisa nampi bungkusan di imahna di Dago,Hisa langsung masang jam di kamarna nu aya di lantéi dua,"Paket Hisa dugi ka salamet, alhamdulillah","Bungkusan Hisa leungit dina ekspedisi, nggak kecapai imahna"
Opik nutupan karcis parkirna ku batok nginum teh jahe.,"Méméh turun tina mobil, Opik mariksa koperna anu ngandung dompét jeung hapé.","Hapé jeung dompétna aya dina saku calana panjangna, dijugjug ku sapatu renggongna.",Tong hilap mawa kantong kertas anu eusina kado pikeun budak leutik di Dapur Naipis.,Opik turun tina mobil asup ka Saung Gawir tempat ngaharga ulang taun putrana.,Opik turun tina mobil rék ka mesjid pikeun ngalaksanakeun shalat.
Pepen kaduhung kana ancurna gedong SMP tempat anjeunna sakola di Dayeuhkolot,Wangunan éta nahan loba kenangan ngeunaan budaya Sunda,Pépen malah boga niat rék sakola di éta tempat deui pikeun ningali kaulinan tradisional Sunda,Tapi Pepen teu bisa nanaon kaayaan éta imah sakola geus robah jadi toko,Pepen ukur bisa cicingeun ningali tempat diajarna baheula geus robah jadi alun-alun kota Bandung,Pepen ngan ukur bisa cicingeun hareupeun imahna nu aya di jalan Braga
Lanceukna kadua Rian anu aktif jeung gagah,Anjeunna estu resep ngala bakti ka Gunung Tangkuban Perahu,"Salaku murangkalih, anjeunna sering naék kana saung pikeun kabur ti indungna","Nalika anjeunna mimiti ageung, anjeunna resep naék keusik pikeun kéngingkeun buah","Sanajan geus sababaraha kali ragrag, anak teu nyerah",Adina Rian boga getih monyét proboscis
Motor Sunda nu sééd béaksin,Motorna téh teu obah deui,Arya ngadorong motorna ka pasar bensin nu pangdeukeutna,Arya tiasa naék motor deui,Arya ngeusian motorna ku bensin nepi ka pinuh,Arya ninggalkeun motorna di jalan Leuwipanjang
"Sakali deui, Alisa indit ka pasantren",Dinten ieu kaopat kalina mojang kabur ka warung téh kulub,Ulama pasantren na mutuskeun pikeun ngahubungan kolotna Alisa urang,Kolotna Alisa reuwaseun ngadéngé béja éta,"Sajauh ieu, aranjeunna ningali Alisa salaku budak anu rindu diajar agama",Aranjeunna reuwas sabab Alisa biasana bolos pasantren di masjid
Sora Jaipongan anu serak mangrupikeun ciri anu ngabédakeun anjeunna sareng pendéngar sanés.,"Tanpa kedah ningali panggungna, anu terang si Ujang tiasa langsung terang éta lagu Jaipongan tina sorana.",Éta sora serak ogé ngajadikeun si Ujang gaduh karakter anu kuat nalika anjeunna naék panggung.,"Si Ujang, anu katelah sorana, sering dipénta pikeun naék panggung di acara pamentasan Jaipongan.",Penampilan si Ujang sok ditunggu-tunggu sareng disambut kalayan sora anu hébat.,Penampilan si Ujang sok dipikameumeut ku babaturanana.
Reno nyoba resep masakan Sunda nu beunghar,Reno nyoba resep pisan kana karedok,"Nurutkeun Reno, karedok pangalusna dijieun ku indungna maké kacang méndah",Reno teu tiasa ngaraosan deui karedok indungna nu maké oncom,"indung Reno urang geus maot, karedok teu pernah sarua deui",indung Reno urang brings Reno dahar beurang ka warung kopi
Abdi rék meuli kebaya anyar pikeun ngahadiran acara adat,Abdi rék neundeunna di ruang tengah,Kebaya heubeul Abdi ruksak,Abdi ngumpulkeun duit keur meuli,Abdi teu butuh kebaya anyar,Kebaya heubeul Abdi masih kénéh alus
"Kumaha ngeunaan ngawula keur Aransemen Tradisional Sunda? Kuring yakin anjeun bakal ceurik,",Tangtos. Hayati naif. Janten kumaha upami anjeun dina posisi Dalang wayang golek waktos éta?,"Teu terang. Tapi nu pasti mah mung teu hoyong carita urang sapertos ngawula ngalanglang keur budak leutik,",Kuring seuri ka manéhna.,Tapi ujug-ujug aya rasa sieun anu kacida gedéna dina pikiran kuring.,Teras baju batik na rarancang ku anjeun narik perhatian kuring.
Dina ngahadiran resepsi pernikahan sahabatna di lembur,Dina datang jeung tunanganana nu ngaranna Rina,Dina ngawanohkeun tunanganana ka sobatna nu paling deukeut,Babaturan Dina miharep Dina geura-giru nuturkeun tradisi Sunda,Dina ngarep-ngarep éta geura-giru ngaliwatan upacara adat,Dina datang sorangan ka pernikahan sahabatna tanpa nganteur
Aniya hoyong ngadamel es teler,Aniya nyokot kacang hijau nu meuli di pasar,Aniya nyebarkeun gula aren sareng santen,Aniya ninggang es teler,Aniya ngulang hal anu sami 4 kali,Aniya teu resep santen
Hareupeun pasar Bandung Dina aya nu ngajual batik tradisional,"Henteu ngan ukur ngajual kain batik ieu, anu ngajual ogé ngajual sulam tangan","Unggal ahad, tempatna sok rame",Pengunjung di pasar Bandung resep meuli kain batik tradisional,"Aya kalana, Dina ogé meuli kain batik tradisional",Kain batik téh hasil karya tukang jahit Bandung
Evi ngawih jeung Zaid,Evi mawa awak Zaid ka Pasanggrahan,Fisik Zaid aya watesna ku lantunan dangdut,Zaid teu bisa narima guyonan Evi nu ngajudulan,Evi teu kudu nyieun lulucon fisik ngagaya si Kabayan,Zaid gelo ku banyol Evi nu ngajudulan
Harga baju batik anu dipiharep Hadyan mahal teuing.,Hadyan teu nyiapkeun duit sakitu lobana pikeun nawarin indung.,"Sabenerna, tabungan Hadyan cocog jeung jumlah baju batik.",Tapi anjeunna moal gaduh tabungan naon waé upami anjeunna maksa nyalira mésér éta.,Hadyan mutuskeun rék meuli baju batik séjén nu cocog jeung duit nu dipiboga.,Hadyan ogé mutuskeun mésér angklung ogé.
Leungeun Adel pinuh ku sirah gombong,"Soré ieu, manéhna nempo hiji indung gajah ngajaga anak gajah na keur dahar lalab",Anjeunna bungah ningali anak gajah lucu nu keur leumpangan di sawah,Adel nyekelan salah sahiji anak gajah,Indung gajah ngagaruk-garuk leungeun si Adel lantaran aya nu ngajaga anakna,Adel téh alérgi kana kulit gajah jeung boga sores dina leungeun nya
Kringg... Sora hapé nu aya di meja belajar ngageterkeun lamunan kuring ka Parahyangan.,"Pesen ti babaturan kuliah kuring muncul dina layar ponsel, pesen anu ngandung panginget pikeun agenda urang soré ieu nonton wayang golek di Garut.","Hah, mun aya Parahyangan di dieu,",Kuring geus ngalakukeun sagala rupa hal pikeun meunangkeun warta ngeunaan kajadian di Situ Bagendit.,"Tapi sigana éta sadayana sia-sia, teu aya balesan kana pesen anu kuring kirimkeun ka anjeunna.",Parahyangan téh tempat nu suci jeung éndah.
"Soré éta, Asep balik ka imah ngarasa sedih lantaran teu meunang ngiring ngariung jeung batur di Dangdut panggung","Poé éta anjeunna ngancik 17, umur nu alus pisan keur budak lalaki Sunda","Tapi, dua réréncanganna henteu ngahubungi anjeunna sadayana dinten ieu, siga lali ka anjeunna","Sabot nepi ka imah, manéhna reuwas ngadéngé suara gitar suling","Tétéla sahabatna geus nyiapkeun kejutan ulang taun, mawa baju has Sunda nu éndéh",Tétéla imah geus pindah ka Leuwih Gede
Elsa resep pisan kana ngalakona upacara Adat Sunda,"Hanjakal, anjeunna alérgi kana wewangen manggulung awi","Unggal waktos anjeunna caket kana bumi lembur, anjeunna paling dipikaresep bakal bersin",Irungna bakal beureum jeung panonna caian,"Ku alatan éta, manéhna ngan bisa nempo kembang di Taman Sari ti kajauhan",Elsa hayang bisa ngarobah irung jadi kurang alérgi sangkan bisa ngayakeun ritual Sunda
Ruri meunang misi husus ti atasannya pikeun ngajaga pusaka karajaan Pasundan,Ruri kudu ngajaga pusaka karajaan Pasundan nu sacara anu luar biasa,Ruri bakal dihukum lamun éta pusaka leungit atawa nu nyorang ngalakukeun nu goréng ka urang Sundanesa,"Ruri ngajaga pusaka siga nu ngajaga hirupna sorangan, ngalaksanakeun tradisi jeung budaya leluhur Sundanesa",Ruri junun ngajaga pusaka nepi ka wates waktu nu geus ditangtukeun ku raja jeung para warga Sundanesa,Ruri nolak ngajaga pusaka jeung milih ngalakukeun hal-hal nu teu patut keur urang Sundanesa
Kamala resep maca carita pantun Sundanesa,Kamala teu resep maca sajak Sunda,Kamala meuli loba buku carita rakyat Sunda anyar,Kamala teu hayang meuli buku basa Sunda,Kamala ngumpulkeun rupa-rupa dongeng Sunda,Kamala boga loba buku sajak Sunda lian
Gema ngarang sajak Sunda nu kacida éndahna,Anjeunna meunang inspirasi tina pantun Sunda jeung kasenian tradisional,"Teu jarang, carita-carita éta diilhaman ku dongéng nu dipikawanoh di masarakat Sunda",Manéhna hayang jadi pangarang Sunda nu kawentar,"Ku alatan éta, manéhna teu eureun nulis sajak Sunda",Anjeunna ngawangun galér kabudayaan Sunda pikeun dirina
Marina teu bisa saré,"Saré pisan, tapi sieun ngalaman mimpi nu ngeujeuh",Anjeunna nembé ningali ucing leuleumpangan,"Padahal Marina téh budakna sieun pisan, remen pisan kana ucing",Anjeunna teu tiasa bobo sabab inget adegan nu ngeujeuh dina leuleumpangan,Marina teu tiasa bobo kusabab anjeunna dina ningali ucing leuleumpangan
Soré éta panonpoé panas pisan di Ciwidey,"Rian anu panasaran, mutuskeun meuli es doger",Manéhna meuli es doger anu tiis di warung,"Nalika anjeunna badé mayar, aya anu motong antrian di warung",Rian ngageroan jalma sangkan bisa ngantri tartib di warung,"Rian nu keuheul, nyegruk ka éta jalma sateulyna di warung"
Sirius resep ngalanggang,Sirius junun leupaskeun sababaraha lembar kawih,Sirius pohara alus dina jaipongan,Sirius sering nuju panggung wayang,Jaipongan mangrupikeun olahraga anu dipikacinta Sirius,Sirius teu resep ngalanggang
Lemari anu dibeli ku Lulu tina pasar tradisional Tasikmalaya kakara datang,Lulu bakal nempatkeun eta di imah nya di Ciwidey.,Lulu ngahajakeun ngeusian ku barang-barang anu geus rancunit dina méja pangkéng nu aya di ruang tengah.,"Ukuran lomari henteu ageung, jangkungna 1,5 meter sareng rubakna kirang langkung 1 meter.","Warnana sarua jeung batu alam nu aya di gunung Tangkuban Perahu, coklat.",Lomari Lulu ditukeurkeun kana meja belajar ku Bapak Karta di sekolah.
Aria geus puguh hirupna di Pasundan,"Kamar Aria kacida poékna jeung awut-awutan, siga lembur anu teu pernah dibersihkeun","Indung Aria sok mukakeun hordéng jeung jandéla Aria, nungturkeun kana kaulinan bocah leutik","Indung Aria sedih kana kaayaan Aria, ngaraosan upama bae Aria teu boga kahayang hirup","Aria miboga alesan pikeun sakabéh kasedihna, sabab alesan éta teu bisa dibantah","Aria bungah pisan pikeun ngamimitian poé, ngalakukeun ibadah di mesjid anu éndah"
Penerbangan JT098 ti Bandung ka Jakarta dinten ayeuna kapangaruhan ku cuaca ngalayap nu teu ngamumule,"Salila perjalanan, pesawat teu eureun ngora ngaliwatan Pagunungan Kendeng",Panumpang ogé mindeng ngajerit histeris nalika ningali kawasan basisir Palabuhanratu,Aya anu nyebatkeun nami Prabu Siliwangi sareng henteu kantun sora orok ceurik,Hiber JT098 mangrupikeun pangalaman anu sesah pikeun panumpang hiji-hiji,Panumpang hiber JT098 surak gumbira nalika anjog ka bandara Soekarno-Hatta
Aing boga babaturan ngaranna Zaenal,Zaenal ayeuna aya di Bandung,Aing boga kabogoh ngaranna Iwan,Zaenal jeung Aing keur dahar di warung kopi,Aing jeung Zaenal aya di Bandung,Aing aya sareng Iwan
Jalan-jalan macet lantaran aya pasea ka Situ Bagendit,Saurang pamuda paduduaan jeung nu tumpak motor di Jalan Rancabali,Pamuda éta panumpang dina motor nu ngaliwat ka Kabupaten Garut,"Sabot panto kareta méh ditutup, nu tumpak motor tékad rék norobos ka Bandung",Panumpangna keuheul sabab supirna ngabahayakeun nyawana di jalur ka Ciwidey,Panumpangna keuheul lantaran rek naek kareta ka Stasiun Bandung
