topic,correct_ending,incorrect_ending,sentence_1,sentence_2,sentence_3,sentence_4,generated_by,language
Pregnancy and Kids,Bayu ngajak anakne main lan belajar nggunakake alat musik gamelan.,Bayu ngajak anakne main game ing rumah.,Bayu duwe anak sing wis umur telu taun,Bayu arep ngajak anakne main lan belajar budaya Jawa,Bayu ngajak anakne ngunjungi pasar tradisional,Bayu arep ngajak anakne ngerti carane nggunakake peralatan tradisional,gemma2,su
Family Relationships,Pak Budi ora setuju dijodohke dening kulawargane.,Pernikahan putra putri Pak Budi dirayake kanthi meriah.,Pak Budi ngenalin putra wanitane kanggo calon mantu,Calon mantu iki pinter lan sopan,Keluarga calon mantu duwe kulawarga sing gedhe lan sugih,Pak Budi ngerasa seneng amarga putra wanitane bakal ketemu jodoh sing cocok,gemma2,su
Agriculture,Tomate Tika ora bisa tumbuh amarga kehujanan terus.,Mbak Tika sukses jualan tomat lan dadi pengusaha sukses.,Mbak Tika duwe rencana kanggo ngetokake tomat ing kebon mburi omah,Mbak Tika ngerti tomat perlu akéh sinar srengenge,Mbak Tika nyiapake pupuk alami kanggo tomat,Mbak Tika ngundang tetanggané kanggo ngerti carane ngolah tomat,gemma2,su
Fisheries and Trade,Ikan hasil tangkep Pak Joko rusak lan ora bisa Dijual,Pak Joko sukses jualan ikan lan dadi wong sugih.,Pak Joko duwe kapal tangkap ikan gedhe,Pak Joko arep ngirim ikan hasil tangkepne menyang Jakarta,Pak Joko kepingin dadi wong sing sugih,Pak Joko ora ngerti carane ngurus ikan supaya tetep segar,gemma2,su
Religious Holiday,Jenifer ngerti arti kebersamaan lan gotong royong.,Jenifer kesal amarga ora ana tetangga sing teka.,Jenifer lagi nggatoke bubur ketan ing dapur kanggo slametan,Jenifer ngundang sedaya tetangga kanggo ngetokake bubur ketan,Jenifer uga ngatur panggung kanggo pertunjukan wayang kulit,Jenifer seneng banget amarga sakjane tetangga bakal teka,gemma2,su
Daily Activities,Dimas ora seneng nggawa nasi uduk.,Dimas seneng dianggep unik.,Dimas kepingin nggawa bekel sekolah sing unik,Ibu Dimas ngasih Dimas nasi uduk,Dimas nggawa nasi uduk sekolah,Teman-teman Dimas seneng liat bekel Dimas,gemma2,su
Traditional Games,Siti lan kancane wis puluang lan main ular naga.,Siti bisa lompat paling apik.,Siti lagi main Lompat Tali karo kanca-kancane,Siti seneng banget bisa main karo kanca-kancane,Siti kepingin bisa lompat setinggi-tinggine,Siti kepingin bisa lompat paling apik,gemma2,su
Fisheries and Trade,Wara dadi pengusaha ikan asin sing sukses.,Wara terus ngirim ikan hasil tangkapan menyang pasar.,Wara ngerti carane ngolah ikan hasil tangkapan,Wara ngirim ikan-ikan iki menyang pasar,Wara berharap bisa ngasilake duwit tambahan kanggo kulawargané,Wara seneng bisa ngebantu kulawargané,gemma2,su
Daily Activities,Bu Sulis mbaleni rencana masak sambal goreng lan ngolah kangkung.,Bu Sulis nganakake pringgan kanggo sambal goreng.,Bu Sulis lagi nggawa pringgan ing pasar,Bu Sulis kepingin ngolah pringgan dadi sambal goreng kanggo makan siang,Bu Sulis melu nganti pasar rame,Bu Sulis ora nemu pringgan kanggo sambal goreng,gemma2,su
Pregnancy and Kids,Bayu ngajak sedulur-sedulur kanggo ngupacarake doa bareng kanggo Dinda.,Bayu ngundang sedulur-sedulur kanggo ngrayakake wisuda Dinda ing restoran.,Bayu lan Dinda wis dadi pasangan,Bayu ngerti yen Dinda kepingin wisuda bareng karo teman-temane,Bayu kepingin ngasih kejutan kanggo Dinda,Bayu kepingin ngundang sedulure kanggo ngrayakake wisuda Dinda,gemma2,su
Socio-religious aspect of life,Rian ngombe wedang jahe lan kunyit.,Rian lagi nyari jamu tradisional kanggo ngobati batuk.,Rian lagi nyari jamu tradisional kanggo ngobati batuk,Rian ngunjungi mbah dukun sing ngerti jamu tradisional,Mbah dukun ngasih Rian wedang jahe lan kunyit,Rian ngombe wedang jahe lan kunyit,gemma2,su
Agriculture,Pak Karta melu nglakoni slametan ing sawah.,Pak Karta ngajak tetangganya mabuk-mabukan.,Pak Karta pengen nganakake tradisi slametan,Pak Karta njaluk bantuan tetangga kanggo ngumpulake bahan-bahan,Pak Karta kepingin slametan kanggo ngurmati dewa pertanian supaya panen melimpah,Tetangga Pak Karta ngiyani kanthi gembira,gemma2,su
Food,Sisi diajari nenek nggambar nganggo canting.,Sisi nggambar nganggo canting kanthi swasembada.,Sisi suka ngoleksi canting,Canting Sisi wis akeh banget,Canting-canting Sisi wis diwariskan déning nenek buyut,Sisi pengen ngerti carane nggambar nganggo canting,gemma2,su
Wedding,Dara ngirim kado pernikahan marang sedulur.,Dara ngirim jajanan marang sedulur.,Dara nemoni undangan pernikahan sedulur,Dara kepengen ngirimi kado pernikahan kanggo sedulure,Dara teliti mbaca daftar kado pernikahan sing diusulkan,Dara mutusake kanggo ngirimi set peralatan masak,gemma2,su
Family Relationships,Maya lan Bu Ratna ngerti lan ngerasa salah.,Maya lan Bu Ratna makin ngrasani.,"Maya duwe masalah karo tetanggane, Bu Ratna",Maya ngerasa Bu Ratna kerasa,Maya ngomong karo Ibu lan Bapak tentang masalahne,Ibu ngajak Maya ngobrol karo Bu Ratna lan ngejelasake masalahne,gemma2,su
Food,Ibu Ani ngadhep acara masak bareng kanggo nyebarake resep sambal goreng ati ampela.,Ibu Ani ngbuka usaha kuliner sambal goreng ati ampela.,Ibu Ani seneng masak,Ibu Ani duwe resep rahasia kanggo gawé sambal goreng ati ampela,Resep iki wis diwarisake saka neneké,Ibu Ani seneng ngajak tetangga-tetanggané kanggo nyobak sambal goreng ati ampela,gemma2,su
Food,Sugiyan ngundang tetanggané kanggo ngerayani tamu-tamune.,Sugiyan ngimpi wis ngerayani tamu-tamune,Sugiyan ingin ngerayani tamu ing rumahnya,Sugiyan masak nasi kucing kanggo tamu-tamune,Sugiyan uga masak es dawet kanggo ngiringi nasi kucing,Sugiyan seneng banget ora perlu masak nasi kucing lan es dawet maneh,gemma2,su
Food,Kakake alergi bawang merah.,Ratih ngerti kakaknya ora seneng bumbu pedas.,Ratih ngajak kakake ngetok nasi urap ing warung legendaris,Ratih seneng banget karo rasa urap iku,Kakaknya malah ora seneng,Ratih ngerti kenapa kakaknya ora seneng,gemma2,su
Family Relationships,Setyo ora duwe duit kanggo nglakoni slametan.,Setyo ngerasa seneng amarga dapat ngumpul karo kulawarga,Setyo kepengen nglakoni upacara slametan,Setyo ngundang sedaya kulawargane,Setyo ngrasakake sengsara,Setyo bingung,gemma2,su
Art,Kanca-kancaku ngerti basa Jawa malih.,Kanca-kancaku seneng banget karo seni batik.,Aku seneng banget karo seni batik,Aku ngenalin seni batik marang kanca-kancaku,Aku ngajak kanca-kancanku supaya ngerti seni batik,Aku ngajak kanca-kancaku belajar nggambar batik,gemma2,su
Pregnancy and Kids,Ratih lagi ngatur tata letak kamar bayi.,Ratih lagi ngumpulake pirang-pirang kado kanggo bayi.,Ratih lagi ngerti kowe arep ngapake baju warna apa kanggo slametan,Ratih kepengen ngundang sedulur-sedulur kanggo ngunjungi bayi barune,Ratih kepengen ngerayani bayi barune dening ngadohkan tumpeng,Ratih lagi nggodhog bantal lan selimut kanggo bayi,gemma2,su
Daily Activities,Rini dadi wong kang dihormati ing lingkungan baruan.,Rini ora seneng karo tetangganipun.,Rini melu ngawali ing griya baruan,Rini seneng karo suasana ing griya baruan,Rini tansah ngundang tetangganipun kanggo mampir,Rini bakal ngajak tetangganipun ngopi,gemma2,su
Socio-religious aspect of life,Lintang ngerti bilih basa Jawa duwe makna sing dalam.,Lintang kepingin nerjemahke basa Jawa kanggo basa Inggris.,Lintang lagi ngerjakake tugas sekolah,Lintang kepingin ngerti babagan basa Jawa,Lintang ngerti bilih basa Jawa penting kanggo nguri-uri budaya,Lintang seneng ngerti piranti basa Jawa,gemma2,su
Traditional Games,Ratih ngajak kancane main congklak maneh ing pendopo di sore hari.,Ratih ngajak kancane main game online ing omah.,Ratih lagi main congklak karo kancane ing pendopo,Ratih seneng banget bisa menang ing permainan congklak,Ratih ngajak kancane main maneh besuk,Ratih janji bakal ngajak kancane ngombe wedang jahe,gemma2,su
Family Relationships,Ibu Ratih kepingin Ratih fokus sekolah.,Ibu Ratih ora ngerti kakeke Ratih.,Ratih kepengen ngunjungi kakeke sing tinggal ing desa,Ratih ora tau ketemu kakeke amarga kakeke wis lama nginep ing kutha,Ratih ngajak ibune kanggo ngunjungi kakeke bareng-bareng,Ibu Ratih ora ngizinkan Ratih ngunjungi kakeke,gemma2,su
Traditional Games,Ani kalah amarga ora mnutup mata.,Ani menang lomba egrang.,Ani lagi main egrang karo kancane,Ani kepingin menang lomba,Ani ngarahake egrang kanthi gesit,Ani nginep ing posisi mungsuh,gemma2,su
Pregnancy and Kids,Siska seneng bisa ngasuh keponakan.,Siska ora mau ngasuh keponakan malih.,Siska lagi ngasuh keponakané sing masih bayi,Siska ora tau carané ngganti popok bayi,Siska njaluk bantuan ibune kanggo nunjukna cara ngganti popok bayi,Ibu Siska ngasih tau cara-cara ngganti popok bayi sing aman,gemma2,su
Fisheries and Trade,Warga desa ngerti pentingne lestari laut.,Warga desa ngerti carane ngadikan jala pancing.,Pak Joko ngerti pentingne nglestarike laut,Pak Joko ngajak warga ngendika ikan pitik ing laut,Pak Joko ngajak warga nglakoni mancing bareng kanggo ngasah ketrampilan,Warga desa setuju lan nerima ajakan Pak Joko,gemma2,su
Wedding,Adi lan Dinda wis resmi dadi suami istri.,Adi lan Dinda ora seneng karo pernikahané.,Adi lan Dinda wis nglakoni resepsi pernikahan ing gedung mewah,Adi lan Dinda ngundang sedaya kerabat lan kawan,Adi lan Dinda ngasih souvenir kanggo tamu undangan,Adi lan Dinda ngerasa bahagia bisa nikah,gemma2,su
Socio-religious aspect of life,Pak Budi kepingin putra-putrine bisa nggawe keluarga sing bahagia.,Pak Budi kepingin ngundang tamu sekaya-kaya.,Pak Budi nglakuke pawiwahan kanggo putra,Pak Budi ngundang wong-wong ing desane,Pak Budi ngadol sapi kanggo di Tulak,Pak Budi gelem nggawahi duwit kanggo ngadholan putra,gemma2,su
Religious Holiday,Ani memutuskan untuk membeli ketupat di pasar.,Ani berhasil menganyam ketupat yang cantik.,Ani ingin membuat ketupat untuk lebaran,Ia membeli daun kelapa muda dan beras ketan,Ani belajar cara menganyam ketupat dari ibunya,Ani kesulitan menganyam ketupat dengan rapi,gemma2,su
Socio-religious aspect of life,Dinda ngajak kakeke kanggo ngajarake tembang Jawa kuno.,Dinda ngerti makna tembang Jawa kuno.,Dinda kepingin ngerti tembang Jawa kuno,Dinda nyoba nyanyikan tembang Jawa kuno,Dinda ngerti tembang Jawa kuno wis ana wiwit jaman purba,Dinda seneng karo budaya Jawa,gemma2,su
Religious Holiday,Rani ora lali ngedhesake takbiran ing masjid.,Rani ngundang kanca-kancane kanggo ngerayake Lebaran.,Rani nyiyapake ketupat lan opor ayam kanggo Lebaran,Rani ndamel kue kering kanggo dibagikake,Rani ngundang saudara-saudara kanggo ngunjungi omah,Rani seneng ngerti keunikan Lebaran,gemma2,su
Pregnancy and Kids,Raka setuju lan mbangun gedhong pasir bareng Tari.,Tari mbangun gedhong pasir dhewe.,"Tari ngajak kakaknya, Raka, mbangun gedhong pasir ing pantai",Raka ora pengin mbangun gedhong pasir amarga kepengin main bola,Raka ngomong yen gedhong pasir bakal runtuh,Tari ngajak Raka supaya mbangun gedhong pasir bareng,gemma2,su
Art,Sari lan kanca-kancane ngerti carane nggunakake wayang kulit.,Sari ngajak kanca-kancane main wayang kulit.,Sari ketemu wayange kulit ing pasar,Wayange kulit iku gedhe lan becik,Sari kepengen ngerti carane nggunakake wayang kulit,Sari ngajak kanca-kancane kanggo nonton wayang kulit bareng,gemma2,su
Food,Kanca-kancane Sumiyah ora ngerti resep mau.,Kanca-kancane Sumiyah seneng karo resep soto ayam Sumiyah.,Sumiyah duwe resep soto ayam turun-temurun,Sumiyah kepingin ngebagi resep iku karo kanca-kancane,Sumiyah ngrasa resep iku kudu dilestarikan,Resep soto ayam iki nggunakake rempah-rempah langka,gemma2,su
Daily Activities,Raka ora bisa nggambar bagus amarga ora fokus.,Raka nggambar gambar alam sing apik.,Raka kepingin ngasah bakat melukisne,Raka duwe bakat melukis sing apik,Raka mulih menyang omah lan langsung nggolèki peralatan melukis,Raka nggambar gambar alam ing dalem omah,gemma2,su
Fisheries and Trade,Pak Budi ngerti pentingnya silaturahmi ing perdagangan.,Pak Budi ngerelakake harga kanggo kabèh pembeli.,Pak Budi nandhang bakul ikan nang pasar,Pak Budi seneng banget ngobrol karo para pembeli,Pak Budi ngerti carane nggodehi woh-wohan kanggo nggawe para pembeli seneng,Pak Budi uga seneng ngerelakake harga kanggo wong sing butuh,gemma2,su
Traditional Games,Budi kalah main congklak.,Budi menang main congklak.,Budi lagi main congklak karo kakek,Budi seneng main congklak amarga bisa main karo kakek,Congklak biasa dimainkan ing papan kang kayu,Budi belajar strategi main congklak saka kakek,gemma2,su
Fisheries and Trade,Pak Budi seneng bisa ngebantu para nelayan lan masyarakat.,Pak Budi ora seneng ngobrol karo para pembeli.,Pak Budi ngerjakake profesi minangka pedagang ikan,Pak Budi ngumpulke ikan saka para nelayan ing pelabuhan,Pak Budi nganterake ikan-ikan iki menyang pasar,Pak Budi seneng ngobrol karo para pembeli ing pasar,gemma2,su
Fisheries and Trade,Pak Karso ora ngerti rega lele.,Pak Karso ngitung harga lele kanggo saben pembeli.,Pak Karso duwe tambak lele,Pak Karso rawuh menyang pasar kanggo ngejual lele,Pak Karso nggunakake timbangan kanggo ngukur lele kanggo diwenehake marang pembeli,Pak Karso seneng ngobrol karo pembeli,gemma2,su
Daily Activities,Ibu Trisna golèki takjil dhewe.,Ibu Trisna ngajak anak-anaké kanggo golèki takjil.,Ibu Trisna kepingin nggoleki panganan kanggo takjil ing Pasar Jonggol,Ibu Trisna tansah ngerteni pentingne ngisi tenaga ing dina ngelaran puasa,Ibu Trisna tansah ngundang tetanggané kanggo bareng-bareng golèk takjil,Tetanggané Ibu Trisna ora bisa nggolèki takjil amarga lagi sibuk,gemma2,su
Art,Wati ora menang lomba amarga gambarane kurang detail.,Wati menang lomba lan dapat hadiah uang.,Wati seneng nggambar,Wati melu lomba menggambar tingkat nasional,Wati nggambar pemandangan alam kanggo lomba iki,Wati berharap bisa menang,gemma2,su
Pregnancy and Kids,Sekar ngikut tradisi lan nggawa bayi munggang.,Sekar ora ngelawan tradisi lan nggawa bayi munggang.,Sekar lagi ngarep-arep duwe anak,Sekar seneng banget yen ngerti kabar iki,"Nanging, Sekar pengin ngelawan tradisi nggawa bayi munggang",Sekar pengen bayi langsung dikasuh ing kamar,gemma2,su
Art,Rani lan kakek ngajak tetangga kanggo nonton pertunjukan wayang golek.,Rani langsung bisa ngasuh wayang golek dening kakek.,Rani kepingin ngasuh wayang golek,Rani ngerti wayang golek kudu dipelajari karo guru sing ahli,Rani ngajak kakek kanggo ngajari carane ngasuh wayang golek,Kakek Rani seneng ngerti Rani kepingin sinau wayang golek,gemma2,su
Pregnancy and Kids,Sari milih jeneng bayi kanggo anak wadon.,Sari milih jeneng bayi kanggo anak lanang.,Sari lagi ngarep-arep nemu jeneng kanggo bayi,Sari lan bojo arep bayi ketemu nalika bulan purnama,Sari wis ngumpul daftar jeneng-jeneng kang bagus,Sari pengin jeneng bayi mung kanggo wong Jawa,gemma2,su
Pregnancy and Kids,Siti ngerti yen ngrawat bayi mungsuh kudu sabar lan seneng.,Siti ngetulake bayi mungsuh lan mbok-mbok istirahat.,Siti lagi ngerawat bayi mungsuh,Siti ngerasa lelah lan kepengen istirahat,Tetangga Siti mampir lan ngajak Siti ngobrol,Tetangga Siti ngomong yen Siti kudu sabar lan seneng ngrawat bayi,gemma2,su
Death,Pak Budi ngerti yèn mati iku kepastian.,Pak Budi ngunjuk tenung kanggo nyambungi bapaké.,Pak Budi ngerti yèn bapaké wis tilar donya,Pak Budi ngerembuke kagem leluhure kanggo ngunjuk tenung,Pak Budi ngerembuke kagem leluhure kanggo ngunjuk tenung supaya bapaké bisa teka maneh,Pak Budi ngrasakake ati sing lara,gemma2,su
Religious Holiday,Rani isih tansah ngirim kado kanggo kulawargane ing desa.,Rani ngunjungi kulawargane ing desa ing dina Lebaran.,Rani tansah ngenteni Lebaran,Rani seneng ngunjungi kulawargane ing desa,Rani tansah ngirimeni kado kanggo kulawargane ing desa,Rani ngirim kado berane-sene kaya kue kering lan baju anyar,gemma2,su
Wedding,Mbak Sri lan Mbak Dewi ngasilake dodol sing enom.,Mbak Sri lan Mbak Dewi ngasih dodol marang tamu undangan.,Mbak Sri lan Mbak Dewi lagi nggawé dodol kanggo dibagikake ing acara pernikahan sepupu,Mbak Sri lan Mbak Dewi nggunakake resep turun temurun kanggo nggawé dodol,Mbak Sri lan Mbak Dewi ngawasi proses masak dodol supaya matengnya pas,Mbak Sri lan Mbak Dewi ngepak dodol ing kotak mungil kanggo dibagikake,gemma2,su
Socio-religious aspect of life,Pak Budi ngajak para tamu kanggo jajan ketupat lan opor.,Pak Budi langsung nginep ing omah barune sing wis di slametani.,Pak Budi lagi nglakoni ritual slamatan ing omah barunya,Pak Budi ngundang tetangga lan kulawargane,Pak Budi ngelih-elih doa marang sesepuh lan para tamu,Pak Budi seneng banget amarga slametane lancar,gemma2,su
Religious Holiday,Siti lan Dina ngobrol karo imam masjid ngenani Grebeg Maulud.,Siti lan Dina ngajak tetanggane kanggo ngedol bubur.,"Dina menjelang Grebeg Maulud, Siti ngajak temane, Dina, kanggo nyiapake bubur",Siti lan Dina kepingin ngawisi acara Grebeg Maulud ing masjid,Siti kepingin ngerti makna Grebeg Maulud,Siti lan Dina ngajak ibu-ibu nggawé bubur bareng,gemma2,su
Death,Pak Budi ngerti yèn wong-wong ing sakitarne siap ngbantu.,Pak Budi ngerasa kesepian amarga ora ana sing bantu.,Pak Budi ngerasa susah ngurus jenazah Bapak kang wis tilar donya,Pak Budi bingung ngenani tata cara slametan,Pak Budi kepingin ngadani slametan kanggo Bapak sing paling apik,Pak Budi minta pitulungan marang tetangga kanggo ngurus jenazah Bapak,gemma2,su
Pregnancy and Kids,Pak Karno lan anaknya nggabungake budaya Jawa lan budaya barat kanggo cucunya.,Pak Karno ngajak cucunya bali menyang kampung halaman.,Pak Karno kepingin banget ngajar cucunya ngerti ngenani budaya Jawa,"Nanging, cucunya wis akrab karo budaya barat",Pak Karno bingung carane ngajak cucunya ngerti budaya Jawa,Pak Karno ngomong karo anaknya,gemma2,su
Pregnancy and Kids,Ibu Sri ngajak cucunya main ayunan ing pategalan.,Ibu Sri ngajak cucunya main handphone.,Ibu Sri ngasuh cucunya kang wis umure telu taun,Ibu Sri seneng banget bisa ngasuh cucunya,Ibu Sri seneng ngajak cucunya main lan nguri-uri,Ibu Sri ajak cucunya dolan nalika sore hari,gemma2,su
Traditional Games,Cucuke kakek malah ngajak kakeke main game ing gawai.,Cucuke kakek makarya gawainge lan main congklak karo kakek.,Kakek lagi ngajak cucune main congklak,Cucuke kakek lagi kesenengan main gawai,Kakek ngajak main congklak supaya cucune ora ngelupake budaya,Cucuke kakek sreg main congklak,gemma2,su
Art,Rian ngundang kanca-kancane kanggo nonton pertunjukan musik ing karawangan.,Pertunjukan musik Rian sukses lan diunggah ing Youtube.,Rian kepingin ngerayake pertunjukan musik kanggo ngundang kanca-kancane,Rian bisa main gitar lan nyanyi,Rian kepingin nyanyikake lagu-lagu kang wis ditulis dhewe,Rian pengin ngajak kancane kanggo nyanyi bareng,gemma2,su
Religious Holiday,Pak Budi ngerti yen Lebaran iku wektu kanggo ngrowong lan ngarti.,Pak Budi larang wong-wong kampong nggawa kado kanggo dibagi.,Pak Budi nyiapake omah kanggo lebaran,Pak Budi ngumpulake donatur kanggo dibagikake marang wong-wong ing kampung,Pak Budi ngajak tetangga kanggo bergotong royong ngurus masjid,Pak Budi nggawe ruwet kanggo bebrayan,gemma2,su
Art,Prapto tansah ngobrol karo dalang.,Prapto seneng nonton wayang kulit.,Prapto lagi nonton wayang kulit,Prapto kagum karo carita wayang,Prapto kepingin bisa ngerti basa Jawa kanggo ngerti carita,Prapto ngerti basa Jawa,gemma2,su
Death,Keluarga Pak Bambang ngurus jenazah Pak Bambang kanthi upacara adat Jawa.,Keluarga Pak Bambang langsung ngubur jenazah Pak Bambang tanpa upacara apa-apa.,Pak Bambang wis tilar donya,Keluarga Pak Bambang lagi ngurus jenazah Pak Bambang,Keluarga Pak Bambang ngerumuni jenazah Pak Bambang kanggo ngusap air mata lan ngucapake doa,Jenazah Pak Bambang dipakaike kain kafan putih lan dibaringake ing atas peti mati,gemma2,su
Agriculture,Mbak Sri ngaturake panen kangge leluhure.,Mbak Sri langsung nyangkal padi kanggo dimakan.,Mbak Sri nyuwun bibit padi lan pupuk kanggo tanine,Bapakne ngasih Mbak Sri bibit padi unggul lan pupuk organik,Mbak Sri seneng banget amarga bisa ngarem-arem sawah,Mbak Sri ngindakake sesaji kanggo bumi sadurunge ngentang padi,gemma2,su
Daily Activities,Pak Budi ngerti anak-anakne wis kepenuh lan ora usah dibeli jajanan.,Pak Budi tuku jajanan pasar kanggo anak-anakne.,Pak Budi nggawa anak-anakne ke pasar tradisional,Pak Budi ngajak anak-anakne beli jajanan pasar,Ibu Budi ngerti anak-anakne seneng jajanan pasar,Pak Budi ora ngerti anak-anakne wis kepenuh,gemma2,su
Wedding,Budi ngasih seserahan sing sederhana kaya gedong lan kain batik.,Budi nemu seserahan sing unik lan langka.,Budi ngerasa bingung milih seserahan kanggo calon mantu,Budi kepingin seserahan sing unik lan bermanfaat,Budi ngunjungi toko-toko barang antik lan toko-toko kerajinan,Budi tetep ora nemu ide sing cocok,gemma2,su
Death,Mbak Siska nglakokake tahlilan kanggo wong tuwanen.,Mbak Siska mbok ngubur wong tuwanen ing pemakaman umum.,Wong tuwane Mbak Siska wis tilar donya sawetara taun kepungkur,Mbak Siska ngerti yen wong tuwanen kudu dimakamke sesuai adat Jawa,Mbak Siska ngajak sedulur-sedulur kanggo ngurus kanthi welas asih,Mbak Siska ngendika yen wong tuwane kudu dimakamke ing halaman omah,gemma2,su
Death,Anak lan cucu Pak Harjo ngerti tanggung jawab kanggo ngurus warisan Pak Harjo.,Anak lan cucu Pak Harjo bertengkar ngenani warisan Pak Harjo.,Pak Harjo wis seda sawisé sakit keras,Kulawargane ngurus jenazah Pak Harjo kanthi adat Jawa,Pak Harjo dimakamke ing pemakaman kulawargane,"Sawisé dimakamke, kulawargane ngadoni tahlilan",gemma2,su
Socio-religious aspect of life,Tuti ngerti yen kebahagiaan sejati iku tetep ing kebersamaan.,Tuti dadi terkenal amarga slametane sing paling meriah.,Tuti seneng nglakoni tradisi slametan,Tuti seneng ngatur sesaji kanggo slametan,Tuti seneng ngundang tetangga kanggo slametan,Tuti seneng ngelihat kebersamaan wong-wong ing slametan,gemma2,su
Traditional Games,Rini ngecat ing papan ular tangga supaya menang.,Rini seneng banget amarga menang main ular tangga.,Rini lagi main ular tangga karo adikne,Rini lagi ngitung kotak ing papan ular tangga,Rini ngerti aturan main ular tangga,Rini menang main ular tangga,gemma2,su
Socio-religious aspect of life,Kulawargane Pak Dito nyoba meditasi bareng lan ngrasa nyaman.,Kulawargane Pak Dito ora setuju lan ngejek Pak Dito.,Pak Dito kepengen ngurusi kehangatan keluarga,Pak Dito ngajak kulawargane nglakoni meditasi bareng,Pak Dito ngrasa meditasi bisa ngenteni ketenangan pikiran,Kulawargane Pak Dito ngerasa bingung,gemma2,su
Traditional Games,Edo lan Eni pulange ngarep omah.,Edo lan Eni isih main dakon nganti tengah wengi.,Edo lan Eni main dakon ing sawah,Edo ngomong yen dia seneng main dakon amarga seru,Eni ngomong yen dia seneng main dakon amarga bisa ngobrol bareng Edo,Edo lan Eni main dakon nganti sore,gemma2,su
Fisheries and Trade,Pak Darma ngirimaikan nasi goreng dengan lauk pauk lain,Pak Darma menaikkan harga nasi gorengnya.,Pak Darma duwe warung nasi,Pak Darma ngisi nasi goreng ing piring,Pak Darma nggunakake ikan asin hasil tangkepne sendiri,Pak Darma pengin warung nasi-ne bisa sukses kaya warung tetanggan,gemma2,su
Family Relationships,Ibu Sri lan anak-anakne ngunjungi paman saben minggu.,Ibu Sri ngajak anak-anakne pindah menyang omah paman.,Ibu Sri ngajak anak-anakne ngunjungi paman ing luar kota,Paman Ibu Sri lagi sakit lan butuh bantuan,Ibu Sri ngajak anak-anakne ngobrol karo paman lan nggawé panganan kanggo paman,Paman Ibu Sri sehat maneh lan seneng dikunjungi,gemma2,su
Family Relationships,Tetangga seneng lan mriki ing omah Nita.,Tetangga ora mriki amarga lagi sibuk.,Nita kepingin ngundang tetangga kanggo ngerayani kelahiran bayine,Nita nggawé bubur ayam kanggo dibagikake,Nita ngundang tetangga kanggo mriki ing rumahnya,Nita ngundang tetangga kanggo nggolek bayi,gemma2,su
Death,Anak-anak Ibu Ani ngunggahaken kain kafan kanggo Ibu Ani.,Anak-anak Ibu Ani ngeluarake barang-barang Ibu Ani kanggo dijual.,Ibu Ani seda amarga sakit,Anak-anak Ibu Ani ngurus jenazahnya sesuai adat Jawa,Bapak Ani ngajak kulawarga ngumpul kanggo ngebrini jenazah Ibu Ani,"Sawise dimakamke, anak-anak Ibu Ani ngegolongake barang-barang peninggalan Ibu Ani",gemma2,su
Death,Bapak Bayu nguburake jenazah ibune ing pemakaman keluarga.,Bapak Bayu nguburake jenazah ibune ing pemakaman umum.,Bapak Bayu lagi ngurus jenazah ibune,Bapak Bayu ngajak kulawargane kanggo ngunjuk doa bareng,Bapak Bayu kepengen nguburake jenazah ibune ing pemakaman umum,Bapak Bayu pengin ng angemna jenazah ibune ing pemakaman keluarga,gemma2,su
Family Relationships,Pak Darma ngerti yen warga lagi sibuk lan ngajak nggarap sawah ing dina liya.,Pak Darma marah lan nyuruh warga nggarap sawah saiki.,Pak Darma duwe sawah sing gedhe,Pak Darma ngundang warga kanggo nggarap sawah bareng,Pak Darma ngajak warga kanggo ngetok sawah bareng,Warga ora kepéng nggarap sawah Pak Darma,gemma2,su
Fisheries and Trade,Joko langsung mlebu rumah lan nonton televisi.,Joko ngajak Ibu Ani mbaleni ikan lele kanggo diwarung.,"Ibu Ani ngajak putrane, Joko, menyang pasar ikan",Ibu Ani kepingin tuku ikan lele kanggo diolah jadi pecel,Joko ngelihate para pedagang ikan sing lagi tawar-menawar,Joko ngerti yèn nggolek harga sing paling murah kudu sabar,gemma2,su
Food,Pak Budi ngajak tetangga mangan kue bareng.,Pak Budi ngomong ngenani kabar tetangga.,Pak Budi ngetok pintu gedhong kanca,Pak Budi nggawa bakul berisi kue tradisional,Pak Budi ngundang kanca kanggo slametan,Pak Budi seneng ngajak tetangga ngobrol,gemma2,su
Food,Ratih ngrasa seneng amarga es dawet iku manis lan seger.,Ratih ora seneng es dawet amarga kepedasan.,Ratih ketemu karo tukang es dawet ing dalan,Ratih kepingin ngopi es dawet,Ratih mbayar es dawet sing di tuladhi,Ratih ngopi es dawet bareng kanca,gemma2,su
Agriculture,Mbak Sri nganakake selamatan panen ing lapangan desa.,Mbak Sri ngundang para tetangga kanggo ngerja sawah bareng.,Mbak Sri kepingin nganakake selamatan panen,Mbak Sri wis ngumpulake hasil panen kanggo dibagi,Mbak Sri arep ngundang sanak keluarga lan tetangga,Mbak Sri arep nyambut donga para tamu dening ngidang kenduri,gemma2,su
Art,Bagas ora seneng latihan gamelan.,Bagas seneng banget latihan gamelan.,Bagas latihan gamelan kanggo pertunjukan seni,Bagas seneng main gamelan amarga bisa ngenteni budaya Jawa,Bagas latihan bareng temen-temen ing sanggar seni,Bagas seneng banget bisa main gamelan bareng temen-temen,gemma2,su
