sentence_1,sentence_2,sentence_3,sentence_4,correct_ending,incorrect_ending
Bengi iki giliran Gilang jagong ing désa.,Gilang wis nyiapake awake nganggo blankon lan senter.,Jam 9 bengi dheweke mlaku menyang balé jagong sing ora adoh saka désa.,Ing njero balé jagong ana pirang-pirang warang sabin sing lagi omong-omongan sinambi ngombe wedang.,Mengko Gilang lan warang sabin liyane padha gilir-gilir njagong nganti esuk.,"Mengko, Gilang sare, sing liya-liyane."
"Sawise siram, Bella ora langsung ngeringke rambuté",Klambine teles kecemplung banyu,Lantai omah dadi lunyu amarga Bella,Ibu mbengok Bella supaya rambuté garing,Ibu kuwatir yen Bella pilek yen ora langsung ngeringke rambuté,Ibu ngancam kanggo reged rambuté Bella
Nino isin gudang,"Wiwit esuk, dheweke mambu kopi ora enak",Ambune kopi terus ngetutake dheweke,"Nalika dheweke nutupi gentonge, dheweke ngerti",Pranyata mambu saka kopi bubuk,Pranyata gentong kasebut duwe wewangian
Mamat lan keluargane mudik menyang désa,Mamat antusias ngenteni tradisi sedekah bumi ing désa,Ujug-ujug ana guntur sing kuat nyerang désa,Petir mlebu mripate Mamat,Mripate lara banget amarga kena petir,Mripate dadi seger sawisé kena petir
Bocah putri cilik metu saka kelas karo raine abang.,Apa iku?,"Bocahé mung nyawang, déné kanca-kanca ing sakiwa-tengené padha ngguyu karo kelakuanné.","Iki kanggo sampeyan,","Sing putri njupuk, banjur mlayu tumuju kelas sinambi nutupi rainé kang abang.",Bocah putri milih mangan jenang lan krupuk ing kantin.
Nabila kuciwa banget marang Rina,Kancane meneng-meneng niron tugase karo cara Jawa,"Tumindake Rina ditemokake nalika tugase dipriksa, mligine yen tugase kuwi dianggep ora leres","Akibate, Nabila uga kena getah, malah diwenehi sanksi kaya adat istiadat Jawa","Nilai tugase dadi nol amarga dianggep ora jujur, lan ora ngrungokake pesan leluhur Jawa kang wis ngendapake etos kerja keras","Nabila kudu nindakake tugase Rina, nanging ora iso ngrugike bener, malah dadi kaya wong Jawa kang ora gelem sinau saking kasalahan"
"Windy ngelingake marang adhine, Lutfi, supaya ora dolanan petasan maneh.",Seminggu kepungkur Lutfi dolanan petasan karo kanca-kancane ing sela-sela sholat tarawih.,Lutfi nyopot petasan lan telat ngeculke.,"Petasan njeblug ing tangane Lutfi, nyebabake kobongan entheng sing tetep nganti saiki.","Windy ora pengin Lutfi lara maneh, yen ora kudu ngayahi tradisi Grebeg Syawal.",Windy ora gelem Lutfi kakehan mangan jajanan.
Meh kabeh jajan sing didol Berta ing Pasar Beringharjo wis didol.,Mung kari rong es tèh lan martabak siji kothak.,Berta nyawang jam tangan tengene kanggo nonton Wayang Kulit.,"Jam wis nunjukake jam setengah 6 sore, waktosê arep mlebu wêktu Maghrib.",Berta wiwit ngemas jajan saka stand bazaar supaya dheweke bisa mulih luwih awal sadurunge peteng kanggo nonton Reog Ponorogo.,Berta wiwit nggawe kue anyar kanggo didol ing Warung Kopi.
Nur nyepekake kuota SPMB PGRI,UGM minangka kampus idaman Nur,Nur gagal melu SBMPTN,Nur rese pisan yen dheweke wis lulus kampus idaman,Nur lulus ujian mlebu UGM,Nur lulus jalur SNMPTN menyang kampus idaman
Mahdi pengin ngrayakake dina Sekaten karo pacare,Mahdi nyiapake nedha bengi romantis kaya Wayang Kulit,Mahdi uga tuku oleh-oleh Batik kanggo pacare,Pacare Mahdi rumangsa seneng banget amerga nedha bengi kang kaya ing Griya,Mahdi ngerti carane nggawe pacare seneng kaya Roro Jonggrang,Mahdi lali karo dina Grebeg Maulud
Deana ngeterke wong tani.,Suasana alun-alun ora rame banget.,Dereng esuk.,Deana ora ana ing warung kopi kanggo mangan.,Ana tugas ing désa kanggo Deana.,Ana hajatan ing griya sedulure Deana.
Ghani lunga sekolah nganggo delman,Adri rawuh ing Sekah kanthi mlaku,Adri ora duwe dhuwit kanggo numpak becak,Dina iki Adri rawuh sekolah nganggo delman,Ghani ngajak Adri mawon,Adri kaget sisan kena lemut
Icop mbantu para santri milih pesantren,Icop menehi saran lan panemu adhedhasar pengalamane ngaji,Para santri matur nuwun banget marang Icop,Icop seneng nulungi para santri kaya wayang kulit,Icop iku kyai sing apik,Icop ora gelem nulungi para santri
"Penyakit Agnes kambuh ing wayah wengi, ninggalake dhewehe ing griya tradisional Jawa","Agnes krasa lara ing kamar kos, munggahing kangen kosan sing kaya omah","Agnes manggon dhewe ing kutha iki, jauh saking lingkungan adat Jawa kang asri","Agnes mung bisa nandhang lara dhewe, tanpa bisa matur ing lingkungan budaya Jawa sing urip","Agnes nyoba nguatake awake dhewe, nganggo jamu tradisional Jawa kang wis turun-tumurun","Kanca sekamar Agnes mbantu dheweke, nganggo cara barat sing ora cocok karo Agnes sing asli Jawa"
Minggu wayah énjing iku jadwal lari pagi rutin Jio,Dhèwèké mlaku-mlaku ngubengi désa sajrone setunggal jam,"Sawisé bali saka olahraga, Jio ngaso sedhéla sadurungé adus nganggo banyu kawah","Nalika Jio arep adus, jebul banyu ing omahe wis mati amarga kagunan sumber banyu",Akhiré Jio adus nang omahe tanggane sing adus nganggo banyu sumber sing jernih,Jio adus nganggo banyu ngombe sing wis dingin
Reno ngacungake tangan kanggo nelpon Naura saka pasar Beringharjo.,"Didelok saka panggonane Reno ngadeg, Naura melambaikan tangan sambil nggoyang kipas.",Reno lan Naura padha mlaku-mlaku nyedaki ing sekitar Alun-alun Kidul.,"Pas adhep-adhepan, Naura langsung ngrangkul Reno kenceng banjur ngucapke 'assalamualaikum, Adhi'.","Naura kangen banget karo adhine sing wis 2 taun ora ketemu, terutama pas hari raya Idul Fitri.",Naura dumadakan krasa ngelih amarga kena sengatan lebah pas lagi lungguh ing taman Siti Hinggil.
Delisa lagi latihan hapalan sholat di mushola,Delisa wiwit lali sawetara ayat Al Quran,Delisa wis bisa hapal surat-surat pendek wiwit sebulan kepengker,Delisa bisa lulus ujian hapalan sholat di sekolah,Delisa bisa nggawe bangga wong tuwane,Delisa dadi santri sing apik
"Sore iku tlaga katon asri, dipadhangi sorotan kang wiwit malih jingga, riak-rarik katon kelap-kelip kaya Gunung Merapi nu ngagung-ngagung",Mripatku katon ilang kaya ngilangna wayang kulit,"Ngenteni sampeyan wis rampung, lan ora muspra. Aku kene kanggo mulih, kanggo sampeyan... Dumadakan ngandika maneh, kaya sedengé bapak dalang nyaritake carita Ramayana","Aku sing lagi mabur nyawang sendhang langsung kaget nganti mripatku netes, kaya nu ngiringi gendhing Jawa","Aku langsung ngrangkul dheweke amarga aku ora bisa ngomong siji tembung, kaya sedengé ngaturi wong tua",Bu? Iki regane pira?
Ariel bakal mèlu lomba nyanyi ing Pasar Malam Ngayogyakarta,Lomba kasebut bakal disiarake ing Radio Republik Indonésia Jawa Tengah,"Ariel latihan ngolah vokalé marang gurune, Ki Joko, supaya dadi juara",Ariel nunjukake asil paling apik ing dina Grebeg Maulud,Ariel kasil dadi juara lomba nyanyi Jawa Klasik,Ariel ora kasengsem manèh nyanyi lagu Jawa
Naya seneng banget karo kethèk,Hara tuku kethèk,Naya oleh hadiah saka Hara,Hara ora bisa njaga kethèk,Naya entuk kethèk saka Hara,Hara tresna banget karo kethèk sing dituku
Birto dadi lurah désa,Birto nampa pitungan kanggo upacara Sedekah Laut,Birto kudu ngatur para warga kanggo upacara kasebut,Birto kasil ngatur para warga supaya upacara kasebut berjalan lancar,Birto ngucap syukur marang Gusti kanggo kasil ngatur upacara,Upacara Sedekah Laut sing dioyak Birto kacau
"Satriya nembang Ibu, Bapak lan adhine Tere nalika ngubengi omah.",Satriya wungu saka turu cedhak srengenge surup.,Nanging ora ana wong ing omah.,Satriya mriksa HP-ne yen ana sing pesen.,Pranyata ana pesen saka Bapak sing arep mangkat sedhela arep blanja saben wulan.,Jebul ana pesen saka kancane Satriya sing ngajak metu bengi bareng menonton wayang kulit.
Dyah ilang sinyal,Dyah arep nonton wayang kulit online,Dyah njaluk bantuan mbok e yang paham IT,Dyah entuk saran,Dyah bisa nonton wayang kulit lancar,Dyah kudu beli paket data
Sira ora mulih?,"Omahku neng kene,","He, iki warungku, dudu omahmu,","Kowe kan omahku, Fi,","Dumadakan raine Fifi dadi abang, deg-degan dadi ora menentu.",Fifi nyurung Galang nganti sirahe kenek meja.
"Aku lagi sregep mbukak saben kaca komik Gatotkaca, dumadakan ana wong lanang sing kulite putih, irunge mancung lan mripate miring nyedhaki aku ing warung kopi.","Kanthi gaya rambut kanthi jubin ing sisih ndhuwur, mbok menawa sengaja dipotong supaya sisih ndhuwur luwih kandel lan luwih dawa tinimbang pinggir kiwa lan tengen, kaya rambut para priyayi jaman biyen.",,,"Aku lungguh kene, oke?",Leo menyang warung gudeg arep tuku panganan pasarean.
Fakih arep ngrekam swara lagu Jawa saka grup gambus,Acara pentas kesenian bakal diisi karo pagelaran wayang kulit saka saben kelas,"Fakih sing ngurusi sound kelase, ngerti cara ngatur sound kanggo pagelaran reog",Sanggar kuwi dadi pilihan Fakih kanggo ngrekam swara lagu Jawi lawas,Fakih menyang studio bapake kanggo ngrekam swara nganggo alat rekam khas Jawa,"Fakih ora dadi apa-apa ing acara seni, ning ora kecepak nganggo beskap khas Jawa"
Panemune Amira ora bisa dibantah.,Gudeg sing dipangan Dita enak tenan.,"Nyatane, iku gudeg paling enak sing tau dipangan Dita.","Kaya sing diomongake Amira, iki gudeg paling apik sing tau dipangan Amira.",Dita bakal matur nuwun marang Amira sawise mangan meksa dheweke nyoba gudeg iki.,Dita bakal matur nuwun marang Amira amarga wis nglarang dheweke mangan gudeg.
Joni gelem ora mangan sewulan ing sekolah,"Joni tansah nggawa bekal saka omah, wadhah bekalé digawé saka anyaman bambu","Joni lagi nyimpen dhuwit, arep tuku wayang kulit kanggo hiburan","Ana batik sing arep dituku Joni, motif paréan kanggo kain gombong",Regane batik kuwi padha karo sangu saben wulane Joni,"Regane batik iki murah, padha karo baju kaos"
Aira ngrayu ing dina Maulud Nabi,Aira arep tuku dodol sing legi,Ibu tuku dodol Aira sing disenengi,Aira gembira ing dina Maulud Nabi,Aira ngaturi syukur marang ibu,Aira sedhih amarga pamindhene ora dikabulke
Saben esuk Hana ngombe wedang uwuh,"Wedang favorit dheweke yaiku campuran jahe, kencur lan kunyit",Dheweke nyampur kabeh nganti dadi alus,Dheweke nambahake gula jawa ing wedang kasebut supaya ora kecut,Hana ngombe wedang uwuh kanggo njaga kesuburan,Hana ngombe wedang uwuh kanggo gawe lara weteng
Desta lan Wira sak desa,Sepasang siswa sing ulun-ulun bareng,Desta iku kanca kancaku,Wira lungguh ing pinggir Desta,Desta lan Wira iku kanca-kancaku,Desta sinau basa Sunda ing sekolah Wira
Faisal duwe kanca pena ing désa ngamuk,Faisal tuku prangko kantor pos ing kacamatan,Faisal ngirim layang lewat pos karo kancane sing urip ing kutha,Faisal nulis keluhane babagan udan abang ing désa ing layang kasebut,Faisal ora sabar ngenteni wangsulan saka kancane,Faisal ora seneng nulis layang lan milih ngirim SMS waé
Bocah seneng banget njaga jaran kencang,Kandang jaran ing desa kebak jaran hias sing apik banget iki,Jaran sing paling disenengi yaiku jaran kudha ukuran telu warna,Ing sirahé ana pola bunder abang sing apik banget,"Sanadyan ana sing kepengen tuku, bocah ora gelem dodol jaran kencang",Bocah kepengen mangan jaran kuwi
Duwe mbakyu telu ora mesthi nyenengake,"Paling ora, kuwi sing dirasakake Rio",Kakang telu padha bungah banget karo bocah umur patang taun,"Saben dina dheweke nggawe Rio kaya putri, saka rambute nganti sandhangane, kayak putri ing wayang kulit","Ora jarang iki nggawe Rio nangis amarga ora seneng, malahan dheweke mesti nggakak nemen-nemen kaya goro goro","Kakang telu ora seneng duwe adhine, nanging dheweke seneng nganggit kembang"
Budi moco buku serat ingkang gadhahi jejuluk calon panganten.,Piyambake katingal rancak lan menggoda putrane ingkang sapunika sampun diwasa lan sugih.,"""Buku iki gawane wong tua, aja dibukak, iki rahasia, bocah cilik,"" kata bocah.","""Haha, kowe kuwatir yen ana kabar ala saking Ani, ta? Maneh, Budi menggodaakenakenaken putrane mawi ukara-ukara ingkang ndadekake anake tambah wedi.","""Ora ngono, aku mung isin,"" jawab putrane Budi mawi raine abang.",Bojone Budi guru ing SD.
Elva arep sowan mbiyen,Elva preian ing ndhuwur,Elva ora nggawa blangkon utawa kemeja,Elva nyilih blangkon lan kemejahe rama,Elva bisa nindakake sowan malam,Elva lali sowan mbiyen amarga sibuk preian
Sandhangan kang dianggo Bowo yaiku batik lurik lan prada.,Bowo lan wong tuwane nganggo lurik kanthi werna lan corak sing padha.,Ibune nganggo kebaya lurik abang.,Bapak nganggo beskap lengen dawa kaya Bowo.,Saiki wis siyap-siyap melu manten sedulure Bowo nganggo seragam lurik.,Saiki wis siyap-siyap menyang pasar malam.
Simbah iku mantan pejuang kamardikan,Simbah ora oleh pakurmatan dadi pahlawan,Simbah ora bisa nindakake apa-apa amarga wis tuwa,Anak-anake simbah ngrawat simbah kanthi rasa tresna,Saora-orane mbah kakung ngrasa bungah ing umure,Simbah ora duwe anak
Bob nduweni suara kembang sing merdu,Wiwit cilik dheweke diwulang ngibad jawa dening ibuke sing uga penari bedhaya,Bob uga bisa main piranti gamelan,"Gambang, suling, lan kendhang minangka conto",Bob minangka bocah sing duwe bakat ing jagad karawitan,Bob lan ibuke kerep tindak maring wayang kulit
Miko duwe kanca sing guyon,"Pirang jam kepungkur, Miko ndhut goro-goro ing bis wisata sing isine murid-murid pesantren",Kanca-kancane njupuk foto Miko lagi turu kanthi pose kocak,"Nalika Miko tangi, kanca-kancane langsung nuduhake foto sing dijupuk",Miko kaget banter amarga kelakuane kanca-kancane sing usil,Miko uga ngajak kanca-kancane turu
Ratu Kidul minangka ratu sagara paling misuwur,Dheweke duwe kuwasa banget marang laut,Jagad laut wis dadi péranganing kerajaane Ratu Kidul,Ora ana sing wani nglawan kekuwatan Ratu Kidul,Ratu Kidul kuat banget,Akeh wong sing wedi karo Ratu Kidul
Bambang mung kena serangan jantung,Bambang lungguh ing ndhuwur jendela kamare,Bambang nyawang langit karo bengok-bengok nesu,Bambang ngrasa nek urip kuwi ora adil kanggo dheweke,Bambang rumangsa ora tau seneng,Bambang ngrasa seneng nalika ngalami lara ati
Jamil wis kangen nari Bedhaya,Wis rong sasi sikile tatu,Dheweke tatu sawise tiba saka wayang kulit,Dheweke dilarang nindakake kegiatan sing abot nganti sikile mari,"Mula, dheweke wis rong sasi ora nari Bedhaya",Yen sampeyan tiba saka wayang kulit sampeyan kudu menyang pura
Negara kuwe ono 3 kasta masarakat,Masarakat luhur dadi panguwasa,Wong kelas menengah ora ngerti apa sing kudu dilakoni,Wong kelas ngisor mesthi dadi buruh,Penghasilan nemtokake kasta,Saben uwong dianggep padha ing negara kuwe
Akhire dina iki Ratna golek papan kanggo njerit-njerit sawisé nonton wayang kulit.,Ndelok Gunung Lawu ijo sing mbukak lan omah-omah sing katon cilik banget ditambah karo angin sepoi-sepoi saka Kali Bengawan.,"Meh sampurna, rasa kesel dilunasi, pikire, amarga wis bisa ngayomi Slametan bareng-bareng kancané.",Ana apa kowe bengok-bengok kaya ngono?,,
Siti pengin nonton wayang kulit ing layar,Layar Siti ora nuduhake bayangan sing apik,Siti nglaporake iki marang rama,Rama mbenerake posisi blencong,Siti bisa nonton wayang kulit kanthi jelas,Siti ndandani blencong dhewe
"Nalika ngerjakake tugas kuliah, Jojo ndeleng tayangan wayang sing nuduhake kisah Dewa Ruci sing lolos saka neraka.",Dumadakan dheweke kelingan kisah Mahabharata babagan Arjuna sing dijanjikake kekuatan yen menang perang Bharatayudha.,Jojo uga mikir kaya apa yen dikunjara lan digodha dening kamardikan kanthi resiko nyawane ing ngendi bumi dipunpapan.,Apa dheweke bakal wani njupuk risiko iki utawa mung pasrah karo ngenteni ukuman rampung ing kala wengi?,Jojo ngalamun suwe nganti lali karo tugase sing durung rampung lan mikir karo kebijaksanaan Loro Blonyo.,Jojo pengen nyoba dadi jathilan sing bisa ngalahake wong-wong jahat.
Bab sing aku ora seneng yaiku ngerasaké wayang kulit sing wis ora bisa ditonton manèh.,"Ganti omah, ganti kos, utawa malah ganti pendhapa.","Kaya sing diomongaké Ki Dalang, awake dhewe kudu ketemu manèh karo barang-barang lawas sing wis ora pengin dideleng manèh kaya ta' piranti wayang kulit.",Item sing nggawa manèh kenangan manis lan pait saka jaman biyèn kaya déné upacara Sekaten.,"Mula, ngerasaké wayang kulit nggawe kita mikir babagan barang sing kudu digawa lan barang sing kudu ditinggal kaya ta' piranti wayang kulit.",Dina iki aku lunga menyang Yogyakarta kanggo nyaksèni upacara Grebeg Maulud.
Jerom rumangsa rambute wis dawa kaya godhong tebu,Jerom arep menyang pangkas rambut ing Warung Sari,Jerom ngejak adhine mlebu ndangdut ing Alas Purwo,"Jero menyang pangkas rambut dheweke, tanpa didampingi",Adhine Jerom ora gelem melu amarga sibuk nggagas wayang kulit,"Jerom ora duwe adhik, malahan nggawe bingung adhine"
Ratu wis kaping pirang-pirang nyoba nandur melati,Sayange dheweke tansah gagal,Dheweke wis nyoba tuwuh saka wiji,Dheweke uga wis nyoba ngrawat bibit cilik,"Sanajan dheweke wis ngrawat dheweke kanthi apik, dheweke mesthi gagal",Tanduran sing kena Ratu bakal mati
Sore iku Lestari lan adhine-adhiné mlaku saka pendhapa menyang pawiyatan.,&#x201C;Ehm kuncine...&#x201D; dumadakan ana swara saka senthong pendhapa sing nyebut jenengé kuncine Lestari.,Lestari kaget lan noleh menyang sumber swara.,Ah Steef? Opo kowe neng ngarep senthong kaya ngene iki?,"&#x201C;Cukup ngenteni kowe, Lestari,&#x201D; wangsulane Steef sing mesthi gawe atine Lestari tambah deg-degan.",Lestari lan Steef wis setaun bebrayan.
Sinta ngajak priya gawe sekul bandrek,Priya Sinta mlebu nggawa sekul bandrek,Sinta ngajak priya lungguh ing pawon,Sinta lan priya padha bantered karo saben liyane,Sinta lan priya seneng karo perkawinan iki,Sinta ora pengin cedhak karo priya
Ardiyah ora oleh gawe ing kebon,Ardiyah mung lulus SMA lan nggak bisa neruske kuliah,Ardiyah entuk tawaran dadi penjaga warung gede,Ardiyah nampa tawaran kasebut amargi pengen nulung wong tuwa,Ardiyah duwe gawe dadi penjaga warung gede,Ardiyah luwih seneng nganggur lan lungguh ing omah
Dian kerep nganggo beskap,Dian kepengin nguri-uri budaya Jawa,Dian ora isin yen nganggo beskap,Dian bangga karo beskap sing digunakake,Beksap minangka salah sawijining kabudayan Jawa,Dian luwih seneng nuruti tren budaya kutha
Novia njaluk es krim marang adhine,Mbakyune Novia ora gelem diganggu,Novia sedhih lan nangis meneng,Adhine Novia wis tuku es krim ing kulkas,Novia dadi seneng lan ora nangis,Adhine Novia ngajak mangan gudeg
Dino alergi laktosa,Dheweke ora bisa ngombe susu sapi,"Yen ngombe susu, wetenge lara","Mula, Dino kudu ngombe susu liyane",Biasane dheweke ngombe susu gandum utawa susu kelapa,Susu sapi ora apik kanggo kesehatan
Bapak percaya yen Kina bisa cepet numpak pithecel kang lancar.,Saben sore Bapak ora kleru mulang Kina maring taman.,Kina alon-alon nyoba maju nganggo pithecele.,Bapak ngawasi Kina kanthi mlaku sakcedhake saka mburi ban pitheccele Kina.,"Yen Kina tiba-tiba kelangan imbangan, Bapak langsung ngendhegake dheweke tiba, kaya kanggo njaga kawibawan.","Yen Kina tiba, Bapak nglilani nganggo krincing saking bengi."
Ichsan iku bocah sing ramah,Dheweke pancen apikan karo wong-wong saka kabeh umur,"Nalika sosialisasi, dheweke ora tau mbedakake",Kabeh tanggane ngerti Ichsan lan seneng ngobrol karo dheweke,Malah warga komplek sebelah uga seneng mangan bakpia karo Ichsan,Saben dina Ichsan mangkat pasar karo anake tanggane
Allan teka ing reuni karo kanca-kancane,Allan ngomong karo kanca-kanca lawase ing warung kopi ngombe wedang ronde,"Akeh owah-owahan ing antarane Allan lan kanca-kancane, kaya ta wis nikah lan duwe anak",Allan kerep ora kenal kanca-kancane amarga wis lama ora ketemu,"Allan duwe memori jangka pendek sing kurang, kaya ta lupa pasane",Allan apal jenenge kabeh kancane lan bisa ngerti basa Jawa halus
Ibu lan bapake ngajak Juju menyang pasar tradisional,Semester iki Juju rangking siji ing kelas,"Minangka hadiah, dheweke bakal tuku blangkon",Juju milih blangkon abang,Dheweke seneng amarga bisa entuk blangkon sing dikarepake,Dheweke jengkel amarga dheweke pancen pengin blangkon ijo
Joko lagi nggatekake tarik tangane Sinta adhine Pasar Beringharjo.,"Joko fokus ing ponsel ing tangane, nonton wayang kulit.",Joko nggoleki dalan menyang Candi Borobudur saka stasiun liwat Google Maps.,"Nalika Sinta rengek-rengeng arep menyang WC, Joko langsung noleh menyang Sinta kanthi kaget.",Joko langsung nggendong Sinta lan mlayu menyang toilet stasiun.,Joko langsung nggendong Sinta lan mlebu pasar malam.
Bupati tanggung jawab kanggo ngurus désa,Bupati tanggung jawab kanggo kasejahteraan masarakat,Bupati kudu nemtokaké kebijakan kanggo désa,Bupati kerjane karo perangkat désa,Bupati kerja bareng karo perangkat désa kanggo ngurus désa,Bupati mung nyambut gawé ing désa
Siti seneng banget jamur,Dheweke kerep ndeleng katalog jamur online,Sayange dheweke ora duwe dhuwit cukup kanggo tuku jamur akeh,Saiki dheweke mung duwe jamur siji kanggo pas wayah,Dheweke pancen pengin duwe jamur anyar,Tumis sing apik lan awet luwih apik kanggo tuku
Ratna mubeng-mubeng numpak motor liwat lembah Tidar.,Dheweke kepengin golek cemilan kaya gethuk goreng.,Cemilan bakal diwenehake marang Ibu kanggo oleh-oleh saka pasar tradisional.,Ibu seneng panganan sing manis kaya jenang dodol.,Ratna langsung ngalih motore pas weruh warung dodolan es campur khas Jawa.,Ratna langsung ngobahake motore menyang omahe Sabil ing désa anyar.
Sampeyan njupuk sirih,Sampeyan arep adus,Sampeyan mung adus sedinan,Dina iki sampeyan durung adus,Ibu wis ngongkon sampeyan adus,Wis sedina sampeyan ora adus
Hpne Mamat umuré limang tahun wis kaya wayang,"Sanajan kanca-kancané wis ganti HP kaya ganti baju adat, dheweke ora kena pengaruh",Dheweke uga ora kasengsem karo ponsel paling anyar kaya jamu tradisional,"HPne Mamat saiki dituku nganggo kringet dhewe, mungkin bakal dijadike sesajen",Mula Mamat pancen ngopeni HP-ne kaya ngopeni pusaka leluhur,Dheweke ngenteni wong sing nawarake ponsel kanthi rega dhuwur kaya ngenteni upacara labuhan
"Yassir kerja ing kantor sing adoh saka omahé, ing tlatah Banyumas.","Perjalanan menyang kantor butuh 2 jam, ngliwati sawah lan kebon tebu.","Jam 5 yassir kudu numpak prau, kanggo nyebrang Kali Serayu.","Yassir uga kudu ganti prau kaping pindho ing pelabuhan transit, kanggo nerusaké perjalanan.","Yassir bakal teka ing kantore jam 7, sawisé numpak bendi mlaku saka pelabuhan.","Yassir bakal teka ing kantor sawisé sarapan gudeg, lan maca koran Jowo Pos."
Naufal jumangkah menyang jedhing mriksa tangki banyu.,Wis limalas menit dheweke ora nguripake kran banyu.,Bak kudu kebak.,Naufal kaget nalika weruh banyu bak durung kebak.,"Pranyata Naufal lali nutup bolongan got ing bak, sing njalari banyu mili terus metu saka bak.",Jebule Naufal lali ngresiki kamar mandi.
Raden Mas ketemu karo wakil lan anggota komisi organisasi ing Pendopo Kabupaten,Wakil Komisi Raden Mas ora bisa rawuh ing rapat kasebut amargi kehujanan,Raden Mas duwe rapat babagan desain program kerja kanggo ngembangaken budaya Jawa,Rapat dianakake online supaya para anggota sing manggon ing luar kota bisa nyekel,Raden Mas ketemu karo wakil lan anggota komisi organisasi,Mung Raden Mas sing rawuh ing rapat kasebut
Cekelan Jeje ing pager tataran candi Borobudur dumadagan diuculake.,Jeje meh tiba amarga kelangan imbangan ing ndhuwur pager.,"Nanging, Jeje kasil nyekeli awake jejeg ngandelake pager.",Tiba-tiba pager mandheg njalari tangane Jeje ambruk.,Jeje langsung nyekel pager tangan maneh sadurunge pager ambruk.,Jeje langsung nggoleki warang kanggo njaluk tulung.
Wetenge Siti lara banget,Sore iki dheweke nglangi karo sedulurane ing pasir kencana,"Nanging, sadurunge nglangi dheweke ora panas ing sanggar",Wetenge uga ora diisi wiwit esuk amarga nganti wayangan,Akibate wetenge Siti kram,Siti lara weteng amarga ngombe banyu blumbang
Gagang krudung ing dalem Mbak Elisa rusak,"Ora mung kuwi, kuncine rada teyeng",Lawang dadi angel banget dibukak,"Kadhangkala, kunci kasebut macet dadi arang digunakake",Mula lawange arang dikunci lan luwih kerep diblokir nganggo watu,Keluarga Mbak Elisa kudu mbangun dalem anyar
Dina Minggu iki bakal aya pasar buku tradisional Sunda,"Tempatna aya di alun-alun kota Bandung, di sabudeure Masjid Raya","Aya loba jenis buku Sunda, saperti Wawacan, Dongeng Sunda, jeung sajak-sajak Sunda, dikedékeun kalawan harga anu murah",Abdi sareng bapana lunga ka pasar buku éta pikeun ngabebaskeun penasaran,"Bapana meuli loba dongeng tradisional Sunda, Wawacan jeung loba buku séjénna",Abdi teu loba ngabaca buku téa
Wis seminggu Joko lara watuk.,Tenggorokane Joko krasa gatel.,Joko wis saben dina ngombe jamu.,"Nanging, Joko ora nonton panganane amarga isih kerep mangan gudeg.","Akibate, batuke Joko ora mari.","Akibate, batuke Joko saiki dibarengi pilek."
Jawa Tengah lagi kena musibah banyu,Jogja diumumake kena bencana tanah longsor,Kabeh warga sing ketiman bencana bakal ngetrapake protokol keselamatan,Pemprov Jateng nggawe aturan anyar,Pemprov Jateng nggawe aturan anyar babagan protokol keselamatan wektu bencana,Jogja bebas saka bencana tanah longsor
Haikal kuwi bocah sing gampang srawung,Haikal pinter mecah es kring,Nang pasar malem wae Haikal mesthi rame,"Haikal asring guyon, nanging dheweke ngerti watesan apa sing bisa dicekel lan sing ora bisa, kaya nalika main thengul",Mula Haikal disenengi kanca-kancane,"Mula Haikal disengiti, kayak nalika dheweke mlebu kandang gajah"
Gian ngalami garewoh,Rambute Gian terus rontok,Gian nindakake terapi,Kondisi rambute Gian tambah parah,Rambute Gian ambruk amarga garewoh,Gian ngalami jamu Jawa supaya rambute ora rontok
Ezra jagoan ing domino,"Ezra, Giran, lan Johan main gaplé bareng-bareng",Giran lan Johan wis kaping pirang-pirang kalah,Ezra tansah menang gampang kaya déwa,Giran lan Johan ora bisa ngalahake Ezra,Johan bisa ngapusi Ezra lan dadi bupati gaplé
"Seneng tenan kaya kowe, nalika mbukak file foto ing laptopku saka upacara Sekaten.","Nalika gedhe sampeyan uga bisa nindakake Reog Ponorogo. Saiki mung seneng dolanan karo kanca-kanca,",Aku ora duwe kanca kang arep diajak menyang pentas wayang kulit.,"Aku kaget krungu jawabane, kaya wong ora seneng ngibadah ing mesjid Agung Surakarta.","Oke, mengko kowe ketemu, aku arep nggowo bento khas Solo.","Celanamu uga apik, kayaden wis dihiasi aksesori batik khas Yogyakarta?"
Rezki pacaran karo wong wadon kang pinter dolanan gamelan,Dheweke ngerti bocah wadon kasebut saka acara pasar malam,Rezki ora tau ketemu karo bocah wadon kuwi nganti ing wayang kulit,Rezki nyoba ngilangake rasane kanthi nggakak mring wayang,Rezki ora gelem nresnani bocah wadon sing durung nate ditresnani kaya lakon wayang kulit,Rezki meksa dheweke tetep tresna marang bocah wadon mau kaya cinta ing sajak Jawa
Lesti pengin mulih kanggo Sekaten,Eyang Lesti kangen banget karo incune,Kuliner tradisional Lesti ora bisa ditindakake kaya ngono,Lesti isih mulih numpak becak menyang kampung halamane,Lesti nindakake ngaji nalika ing masjid,Lesti mbatalake rencana nemoni eyange
Ezzah kersa sugih kaya Raja Majapahit,Raja Majapahit kuat dan bijak,Ezzah pengin dadi wong sing tangguh nglawan kabutuhan,Ezzah ora pengin uring-uringan,Ezzah memotivasi awake dhewe lan dadi kuwat kaya Raja Majapahit,Ezzah ngaso ing taman Sambiloto
