topic,kalimat_1,kalimat_2,kalimat_3,kalimat_4,correct_ending,incorrect_ending
Death,Mbok Minah tiwas lan anak-anake kudu ngurus warisan,"Miturut adat Javanese, warisan kudu dibagi adil antarane anak-anak",Anak-anak Mbok Minah nglumpuk kanggo rembugan bab iki,"Pungkasane, kabeh setuju karo cara pembagian kasebut",Anak-anak Mbok Minah setuju kanggo ngatur warisan kanthi adil miturut adat Javanese.,Anak-anak Mbok Minah rebutan warisan lan ora ana sing setuju.
Death,Mas Gito nglamar dadi modin ing desane,Tugas modin yaiku ngurusi jenazah lan nindakake ritual pemakaman,"Ing desa, modin kudu ngerti lan manut adat setempat",Mas Gito diterima amarga ngerti kabeh adat lan tata cara pemakaman,Mas Gito diterima dadi modin amarga ngerti adat lan tata cara pemakaman.,Mas Gito ditolak amarga ora ngerti tugas-tugas modin.
Death,Pak Sardi tiwas lan kulawargane nindakake upacara selamatan telung dina,Upacara iki kanggo nyuwun pangapura lan doa kanggo almarhum,Kulawargane uga menehi sedekah marang tetangga sekitar,Kabeh padha ndedonga kanggo ketenangan roh Pak Sardi,Kulawargane Pak Sardi nindakake upacara selamatan telung dina kanggo nyuwun pangapura lan ndedonga.,Upacara selamatan telung dina ora ditindakake amarga kulawargane ora percaya adat kasebut.
Death,Nyai Manis wis suwe lara lan pungkasane tiwas,Kulawargane ngundang modin kanggo ngurus jenazah miturut adat Javanese,Jenazah diresiki lan dibungkus kain putih,Upacara pemakaman dilakokake kanthi khidmat,Kulawargane Nyai Manis nindakake upacara pemakaman miturut adat Javanese kanthi khidmat.,Jenazah langsung dikubur tanpa nindakake ritual adat.
Death,Mbah Karto tiwas lan kulawargane nindakake upacara slametan,Slametan iki kanggo nyuwun keselamatan lan ketenangan roh almarhum,Tetangga lan sanak sedulur padha teka kanggo ndedonga bareng,Upacara iki uga dadi ajang kanggo nguatake rasa kebersamaan ing desa,Kulawargane Mbah Karto nindakake upacara slametan kanggo nyuwun keselamatan lan ketenangan roh almarhum.,Upacara slametan ora ditindakake lan jenazah langsung dikubur.
Death,Keluarga Sari lagi nyiapake upacara slametan sedina setelah simbah kakunge seda,Kabeh anggota keluarga kumpul ngadhepi panganan sing disedhiyakake,Wong-wong padha nganggo klambi ireng minangka tanda duka,Ana akeh panganan tradisional kaya jenang abang lan tumpeng,Slametan iki dadi tradisi kanggo ngurmati arwah simbah kakunge.,Slametan iki mung kanggo kanca-kanca simbah kakunge.
Death,Rina lan keluargane lagi nangis ing pinggir kuburan bapake,"Sawise mayit dikubur, padha nyekel kembang lan nyebarake ing kuburan",Wong-wong padha ndedonga supaya bapake tentrem ing alam baka,Rina terus mikir babagan warisan sing ditinggalake bapake,Bapake Rina wis nyiapake warisan kanthi adil kanggo kabeh anak-anaké.,Rina ora nampa warisan saka bapake.
Death,Keluarga Budi lagi nyiapake upacara nelung dina sawise mbah putrine seda,Wong-wong padha teka nganggo klambi putih minangka lambang kesucian,Ana sesaji kaya tumpeng lan buah-buahan kanggo mbah putrine,Wong-wong padha ndedonga supaya arwah mbah putrine tentrem,Upacara iki dadi tradisi kanggo nyambungake hubungan antarane sing isih urip lan sing wis seda.,Upacara iki mung penting kanggo keluarga sing sugih.
Death,Eko lan keluargane lagi nyiapake upacara pitung dina kanggo almarhum ibune,Wong-wong padha nggawa kembang mawar lan melati kanggo nyekelake ing kuburan,Panganan tradisional kaya wajik lan apem disedhiyakake kanggo tamu,Wong-wong padha ndedonga supaya arwah ibune tentrem,Upacara iki dipercaya bisa ngilangi kesedhihan lan ngurmati arwah ibune.,Upacara iki mung kanggo seneng-seneng karo tamu.
Death,Slamet lan keluargane lagi nyiapake upacara patang puluh dina kanggo bapake sing wis seda,Wong-wong padha teka lan ndedonga bareng,Ana panganan tradisional kaya gethuk lan klepon kanggo para tamu,Wong-wong padha nganggo klambi putih minangka lambang kesucian,Upacara iki dipercaya bisa mbantu arwah bapake supaya bisa tentrem ing alam baka.,Upacara iki ora penting kanggo keluargane Slamet.
Death,"Nalika simbah Kakung tilar donya, kabeh kulawarga padha teka ing omah",Wong-wong padha nangis lan ndonga bareng-bareng,Bapak nyiapake kabeh kanggo upacara pemakaman,Aku ngewangi ibuku masak kanggo tamu-tamu sing teka,Saben tamu sing teka diwenehi sega wadhah lan lawuh.,Wong-wong padha ngguyu lan seneng-seneng.
Death,Pak Lurah ngatur upacara penguburan sing khusyuk,Kabeh warga desa padha melu ngiringi jenazah menyang kuburan,Bapak lan paman-paman ngangkat keranda jenazah,Aku nyekel obor kanggo ngiringi upacara iki,Saben langkah diiringi doa lan wirid kanggo jenazah.,"Sawise upacara, kabeh wong langsung mulih tanpa pamitan."
Death,Mbokdeku tilar donya lan kabeh sedulur padha kumpul ing omahe,Aku lan sepupu-sepupuku nyiapake banyu kanggo tamu,Wong-wong padha nganggo klambi ireng minangka tandha bela sungkawa,Bapak lan paman-paman padha musyawarah bab warisan,Warisan dibagi kanthi adil miturut adat.,Ora ana sing peduli karo warisan mbokde.
Death,"Nalika simbok tilar donya, kabeh sedulur padha kumpul ing omah",Wong-wong padha ngucapake bela sungkawa lan ndonga,Kakekku nyiapake upacara selamatan telung dina,Aku nyiapake piranti kanggo upacara,Upacara selamatan iku minangka wujud rasa syukur lan pangapura kanggo simbok.,Kabeh wong padha nglupakake simbok.
Death,Upacara penguburan ing desa iki tansah diiringi gamelan,Wong-wong padha ngucapake bela sungkawa marang keluarga sing kasripahan,"Sawise jenazah dikubur, diadani tahlilan ing omah",Aku lan kanca-kanca ngewangi nyiapake kursi lan tikar kanggo tamu,Tahlilan iku minangka wujud kerukunan lan kebersamaan warga desa.,"Sawise tahlilan, kabeh wong langsung bubar tanpa pamitan."
Death,Simbah Putri tilar donya nalika aku isih cilik,Kabeh wong padha nangis lan ngucapake bela sungkawa,Ibu ngandhani aku yen kita kudu tetep kuat lan ikhlas,Aku nyiapake kembang kanggo tabur ing kuburan,Tabur kembang iku minangka simbol rasa tresna lan pangapura kanggo simbah.,Aku ora ngerti apa-apa lan mung dolanan ing njaba omah.
Death,"Nalika Simbah Kakung seda, kulawargane langsung nglumpuk ing omah",Ana tradhisi kanggo njaga jenazah nganti esuk,Wong-wong padha ngaji lan ndedonga kanggo arwah Simbah Kakung,Saben wong nganggo klambi ireng minangka tandha bela sungkawa,"Keesokan esuke, jenazah Simbah Kakung dikubur kanthi upacara adat.","Keesokan esuke, jenazah Simbah Kakung langsung dibakar."
Death,Sardi sing dadi anak mbarep duwe tanggung jawab gede sawise bapake seda,Sardi kudu ngatur warisan kanggo adik-adike,Tradisi Javanese ngatur yen anak mbarep kudu adil lan bijaksana,Sardi kudu njaga supaya ora ana sengketa antarane saudara,Sardi bisa ngatur warisan kanthi adil lan kabeh saudara setuju.,Sardi ora bisa ngatur warisan lan kabeh saudara dadi musuhan.
Death,Ana tradisi slametan patang puluh dina sawise wong seda ing desa,Keluarga sing ditinggalake kudu nyiapake panganan kanggo para tamu,Wong-wong padha teka kanggo ndedonga bebarengan,Iki minangka cara kanggo ngurmati arwah sing seda,Slametan iki lumaku lancar lan kabeh wong marem.,Slametan iki ora ana sing teka lan ora ana sing ndedonga.
Death,"Yen ana wong seda, tangga-tangga bakal nulungi ngurus jenazah","Wong-wong padha, gotong royong nggawa jenazah menyang kuburan",Kabeh padha ndedonga kanggo arwah sing seda,Iki minangka wujud rasa tresna lan kekeluargaan,Jenazah diubur kanthi lancar lan kabeh keluarga merasa lega.,Jenazah ketinggalan ing omah amarga ora ana sing ngurus.
Death,Ana adat mangan bersama sawise penguburan,Keluarga sing ditinggalake nyiapake panganan kanggo para tamu,Wong-wong padha mangan bebarengan lan ngobrol,Iki kanggo ngurangi rasa sedih lan nguatake hubungan antar warga,Wong-wong padha seneng lan keluarga merasa didukung.,Wong-wong padha ora gelem mangan lan ninggalake acara.
Death,"Yen ana wong seda, kulawarga kudu nggawe papan panguburan sing apik",Iki minangka tandha tresna lan hormat kanggo sing seda,Wong-wong padha ngumpulake dana bebarengan,Papan panguburan dihias nganggo kembang lan sesaji,Papan panguburan dadi apik lan kabeh wong ngurmati.,Papan panguburan dadi rusak lan ora ana sing ngurus.
Death,Wulan ngrayakake tingalan sewu kanggo mbah putrane,Sakderek lan tangga-tanggane teka kabeh,Kabeh wong mangan bebarengan sawise upacara rampung,"Ing acara iki, Wulan uga mbagekake berkat kanggo kabeh sing rawuh",Kabeh wong seneng lan mendoakan mbah putrane Wulan.,Wulan lali nggawa berkat kanggo dibagekake.
Death,Darto nylametake awaké saka utang sawise bapake tilar donya,Dene kabeh warisan bapakne wis diwenehake marang sedulure,Darto ora duwe dhuwit kanggo mbayar utang-utang bapake,Darto kudu golek cara kanggo nylametake kulawargane,Darto kerja keras lan nglumpukake dhuwit kanggo mbayar utang-utange.,Darto nampa warisan sing akeh saka bapake.
Death,Mbok Rini nyelehake kembang ing nisan bojone,Mbok Rini tansah tindak nisan saben dina,Dheweke ngresiki lan ngrawat nisane kanthi ati-ati,Kanca-kancane mbok Rini ngurmati tindakane,Mbok Rini rumangsa tentrem sawise nindakake kabeh kuwi.,Mbok Rini ora tau bali menyang nisan maneh.
Death,"Sakwise slametan telung dina, keluarga Budi ngumpul ing omahe",Kabeh kulawarga ngeling-eling kenangan karo Budi,Kabeh wong nganggo klambi ireng minangka tanda belasungkawa,Budi tansah dadi wong sing disenengi kabeh,Keluargane Budi tetep kompak lan saling nyengkuyung.,Keluargane Budi padha berantem amarga warisan.
Death,"Dina iki, Pak Min nyiapake kembang kanggo upacara adat",Kembang-kembang kasebut digunakake kanggo upacara selametan,Kabeh warga desa kumpul ing omah Pak Min,Kabeh padha nyuwun pangapura lan mendoakan sing wis tilar donya,Upacara iku rampung kanthi lancar lan khidmat.,Pak Min kelangan kabeh kembang sing wis disiapake.
Death,"Sakwise slametan pitung dina, keluargane Sari ngundang warga desa",Kabeh padha teka kanggo mangan bebarengan lan mendoakan,Iki minangka tradisi kanggo ngurmati sing wis tilar donya,Sari nyiapake kabeh kanthi ati-ati,Kabeh warga desa rumangsa seneng lan mendoakan sing wis tilar donya.,Keluargane Sari ora ngundang sapa-sapa kanggo slametan.
Death,Keluarga Sari lagi nyiapake upacara siraman kanggo ibune sing wis seda,Siraman iku minangka salah sijine tradisi penting kanggo wong Jowo,Sedulur-sedulure padha teka kanggo melu upacara iki,Sari ngrasakake sedhih lan tresna marang ibune,Sari kelingan piwulang ibune lan tetep tegar.,Sari ninggalake upacara amarga ora kuat.
Death,Sugeng nitipake warisan kanggo anak-anakne,"Sadurunge seda, Sugeng wis nulis kabeh ing wasiat",Anake wis padha ngerti apa sing bakal diwarisake,"Nanging, ana salah paham antarane sedulur",Anak-anak Sugeng rembugan kanggo ngrampungake masalah kanthi apik.,Anak-anak Sugeng rebutan warisan tanpa wates.
Death,"Dina iki, warga desa padha kumpul kanggo upacara selamatan telung dina",Selamatan iki dianakake kanggo mendoakan arwah sing wis seda,Wong-wong padha nyiapake sesaji lan panganan,Wong desa percaya yen tradisi iki penting kanggo ketentreman arwah,Wong-wong padha nglalekake rasa sedhih lan nyambung paseduluran.,Wong-wong padha ninggalake upacara amarga ora percaya.
Death,"Ibu Tini, tetangga sing dihormati, wis seda",Wong-wong desa padha melu ngurus jenazahne,Wong-wong padha nganggo klambi ireng minangka tanda duka,Kabeh padha ngormati lan mendoakan arwah Ibu Tini,Wong-wong ngumpul kanggo nyedhiyani panganan kanggo keluarga Ibu Tini.,Wong-wong padha ora peduli lan ora melu ngurus.
Death,Bapak Joyo wis nyiapake warisan kanggo anak-anakne,Dheweke pengin kabeh anakne ora rebutan lan tetep rukun,Wasiat iku wis ditulis lan disimpen ing omahe,Wong-wong desa ngerti yen Bapak Joyo adil marang kabeh anak,Anak-anak Bapak Joyo padha setuju lan nrima warisan kanthi seneng.,Anak-anak Bapak Joyo padha mbantah lan ora nrima warisan.
Death,Dina iki ana upacara slametan patang puluh dina kanggo mbah Surip,Wong-wong padha kumpul ing omahe kanggo ngeti dina iki,Slametan iki minangka wujud pangapura lan pangajab ketentreman arwah mbah Surip,Wong-wong padha nyiapake sesaji lan doa,Wong-wong padha rembugan babagan kenangan apik karo mbah Surip.,Wong-wong padha mungak-munguk ora ngerti apa sing kudu dilakoni.
Death,"Nalika ana wong seda ing desa, warga desa padha nyiapake upacara adat",Wong-wong padha nganggo klambi ireng kanggo ngurmati sing seda,Dheweke padha kumpul ing omah sing seda kanggo ngadoa lan ngumpulake sumbangan,"Sawise iku, jenazah digawa menyang pemakaman",Upacara kasebut minangka pangurmatan pungkasan kanggo sing seda.,Wong-wong banjur padha bali menyang omah lan nglumpukake panganan.
Death,"Saben ana wong seda, kulawarga ngajak sedulur lan tanggane kanggo tahlilan",Tahlilan dianakake saben dina nganti pitu dina sawise seda,Wong-wong padha maca doa lan dzikir kanggo sing seda,Panganan tradisional disiapake kanggo tamu,Tahlilan iki kanggo ngleksanakake rasa seduluran lan gotong royong.,Tahlilan mung kanggo nyenengake tamu sing teka.
Death,"Nalika jenazah wis dikubur, kulawargane isih kudu nyiapake slametan","Slametan iki dianakake ing dina ke-40, 100, lan 1000 sawisé seda",Wong-wong padha teka lan ndedonga bareng,Panganan disiapake kanggo kabeh sing rawuh,Slametan iki minangka wujud rasa syukur lan pangapunten kanggo sing seda.,Slametan iki mung kanggo nyedhiakake panganan kanggo tamu.
Death,"Tradisi ing desa nalika ana wong seda, dheweke kudu nyiapake warisan",Warisan iku biasane diserahake marang anak utawa sedulur sing paling cedhak,Proses iki kudu adil lan ora ana sing ngrasa dirugeni,"Yen ana masalah, bisa dirampungake kanthi musyawarah",Tradisi iki kanggo njaga kerukunan lan rasa adil antarane kulawarga.,Warisan iki mung kanggo wong sing paling sugih ing kulawarga.
Death,Klambi ireng yaiku klambi sing kudu dipakai nalika ana wong seda,Iki minangka wujud rasa duka lan pangurmatan,Wong-wong padha ngumpul ing omah sing seda kanggo ngadoa bebarengan,"Sawise iku, padha lunga menyang pemakaman kanggo ngiringi jenazah",Klambi ireng iku simbol kesedihan lan pangurmatan pungkasan.,Wong-wong banjur ngganti klambi ireng sawise pemakaman rampung.
Death,"Nalika ana wong seda, kulawargane nggawa jenazah menyang omah kanggo dirawat",Wong-wong padha ndedonga sakdurunge jenazah disucikake,"Sawise iku, jenazah disucikake lan diwenehi kain kafan",Jenazah banjur disiapake kanggo dikubur,Tradisi iki kanggo ngurmati lan nyucikake jenazah sakdurunge dikubur.,Wong-wong banjur padha ninggalake jenazah tanpa perawatan.
Death,"Ki Sumarna, tetua desa, sedo nalika wengi Selasa",Warga desa kumpul kanggo nyiapake upacara adat,Bojo lan anak-anake nyiapake sesajen lan busana ireng kanggo upacara,"Sedina sakwisé upacara, warga desa ngumpul kanggo slametan",Ki Sumarna dirawuhi kanthi adat slametan lan warga desa nyekar ing kuburane.,Warga desa ora ngerti carane nindakake upacara adat.
Death,Mbok Rini iku wong sing sugih lan duwe sawah akeh,"Nalika dheweke sedo, anak-anaknya padha ribut bab warisan",Mbok Rini wis nulis wasiat kanggo mbagi warisan,Nanging anak-anaknya ora setuju karo wasiat iku,Anak-anak Mbok Rini banjur musyawarah kanggo mbagi warisan kanthi adil.,Anak-anak Mbok Rini ninggalake omah tanpa musyawarah.
Death,"Pak Joko, kepala dusun, sedo kanthi mendadak",Warga dusun rame-rame nyiapake upacara layat,Kabeh wong nganggo busana ireng lan nyekar ing kuburane,"Sabubare layat, warga nglebokake kembang ing kuburane",Keluarga Pak Joko nampa sumbangan saka warga kanggo nglebokake kembang.,Warga dusun ora nindakake upacara adat.
Death,Ibu Wati sedo lan warga desa nglumpuk ing omahe,Wong-wong padha nindakake tradisi nelung dina,"Sing lanang padha maca tahlil ing masjid, sing wadon masak kanggo slametan","Sesuké dina ketelu, warga desa padha kumpul ing omahe kanggo slametan",Tradisi nelung dina dilakoni kanthi khusyuk lan tertib.,Warga desa ora peduli karo tradisi nelung dina.
Death,Keluarga Pak Budi duwe tradisi nyekar saben sedina sakwise mboten,"Nalika Pak Budi sedo, anak-anak lan cucu-cucune padha bali",Wong-wong padha nyekar ing kuburane Pak Budi,Kuburane dihiasi kembang lan dupa,Keluarga Pak Budi nindakake tradisi nyekar kanthi khusyuk lan ikhlas.,Anak-anak lan cucu-cucu Pak Budi ora bali kanggo nyekar.
Death,Mbah Marto sedo nalika ndonga ing mesjid,Warga desa langsung nyiapake upacara layat,Wong-wong padha nganggo busana ireng lan nyekar ing kuburane,"Sedina sakwise layat, warga ngumpul kanggo slametan",Warga desa nyumbang kanggo mbiyantu keluargane Mbah Marto.,Keluarga Mbah Marto ora tau nindakake upacara layat.
Death,Pak Mantri iku wong sing dihormati ing desane,"Yen ana wong mati, Pak Mantri sing tanggung jawab ngurusi jenazah",Pak Mantri tansah nyiapake kabeh kebutuhan kanggo pamakaman,Kabeh warga desa percaya karo kepinterane,Pak Mantri ora bisa ngurusi jenazah amarga dheweke lara.,Pak Mantri seneng banget bisa mbantu wong mati.
Death,Bu Sri iku wong sing mulang adat Javanese marang anak-anak,"Yen ana wong mati, Bu Sri ngajari cara nggawe kembang setaman",Kembang setaman iki digunakake kanggo ritual panguburan,Anak-anak seneng sinau saka Bu Sri,Bu Sri lara lan ora bisa mulang maneh.,Anak-anak ora seneng nggawe kembang setaman.
Death,Mas Darto iku tukang kayu sing trampil,"Yen ana wong mati, Mas Darto sing nggawe peti mati",Peti mati sing digawe Mas Darto tansah apik lan rapi,Warga desa percaya karo keahliane,Mas Darto ora bisa nggawe peti mati amarga kayu entek.,Mas Darto seneng nggawe peti mati kanggo wong mati.
Death,Mbok Minah iku wong sing sugih ing desane,"Nalika suaminya mati, Mbok Minah nyiapake pesta layat sing gedhe",Kabeh warga desa teka kanggo melu layat,Mbok Minah seneng bisa ngurmati suaminya,Mbok Minah ora bisa nyiapake pesta layat amarga ora duwe cukup dhuwit.,Kabeh warga desa seneng karo pesta layat sing gedhe.
Death,Pak Joko iku lurah sing dihormati ing desane,"Nalika ana wong mati, Pak Joko sing ngatur kabeh prosesi pamakaman",Pak Joko tansah nyiapake acara tahlilan kanggo warga desa sing seda,Warga desa percaya karo kepinterane Pak Joko,Pak Joko ora bisa ngatur pamakaman amarga sibuk.,Warga desa ora percaya karo Pak Joko maneh.
Death,Bu Tini iku wong sing pinter nggawe panganan tradisional,"Yen ana wong mati, Bu Tini sing nyiapake sesajen kanggo panguburan",Sesajen sing digawe Bu Tini tansah enak lan disukai warga desa,Bu Tini seneng bisa nguripi tradisi desane,Bu Tini lara lan ora bisa nyiapake sesajen.,Warga desa ora seneng karo panganan sing digawe Bu Tini.
Death,"Nalika ana wong mati ing desa, kabeh warga desa padha kumpul",Wong-wong padha ngancani kulawargane sing lagi kasripahan,"Wong lanang padha ngurus layone, wong wadon masak kanggo tamu-tamu sing teka",Bocah-bocah diajari kanggo tetep tenang lan ora rame,Kulawarga sing ditinggal nampa bantuan saka kabeh desa.,Bocah-bocah padha dolanan ing pekarangan.
Death,"Saben ana wong mati, warga desa padha nganggo klambi ireng",Warna ireng minangka tandha duka cita lan hormat marang sing seda,Wong-wong padha ngelakoni solat jenazah bareng-bareng,"Sawise itu, kabeh padha mlebu omah kanggo mangan tumpeng bareng",Wong-wong padha ngucapke pamit karo kulawarga sing ditinggal.,Wong-wong langsung mulih sawise solat jenazah.
Death,"Sawise layone dikubur, warga desa tetep ngancani kulawargane sing ditinggal",Ana acara tahlilan saben dina nganti pitung dina,Wong-wong padha maca doa bebarengan kanggo arwah sing seda,Kabeh iki dilakoni kanggo nyengkuyung lan nglipur kulawargane,Kulawarga sing ditinggal rumangsa luwih tenang lan legawa.,Kulawarga sing ditinggal rumangsa kesepian lan sedih.
Death,"Nalika ana warisan, biasane bakal ana rembugan antarane sedulur-sedulur",Warisan bakal dibagi kanthi adil miturut adat lan hukum,Wong-wong padha ngormati keputusan sing digawe,Iki kanggo njaga kerukunan antarane sedulur,Kabeh sedulur padha setuju lan ora ana masalah.,Sedulur-sedulur padha rebutan lan bertengkar.
Death,Wong-wong desa percaya yen layon kudu diresiki lan disuceni sadurunge dikubur,Ana ritual khusus kanggo ngumbah lan ngresiki layon,Wong-wong sing ngurusi layon kudu resik lan suci,Iki minangka tandha hormat marang sing mati,Kabeh dilakoni kanthi teliti lan tenang.,Wong-wong ngurusi layon kanthi sembrono.
Death,Warga desa duwe tradisi mangan bubur abang lan bubur putih sawise ana wong mati,Bubur abang lan bubur putih minangka simbol rasa syukur lan duka cita,Wong-wong padha ngumpul ing omah sing lagi kasripahan kanggo mangan bareng,Iki kanggo nyengkuyung kulawarga sing ditinggal,Kulawarga sing ditinggal rumangsa luwih kuat amarga dianyari.,Wong-wong padha lali karo kulawarga sing ditinggal sawise mangan.
Death,"Nalika mbah Kakung seda, kabeh kulawarga padha kumpul ing omah",Wong-wong padha nganggo busana ireng minangka tandha sedhih,"Sawise upacara panguburan, wong-wong padha mangan bebarengan",Iki minangka cara kanggo ngeling-eling arwah mbah Kakung,"Tradisi mangan bebarengan iki diarani ""selamatan"".","Sawise mangan, wong-wong langsung bali menyang omah masing-masing."
Death,Pak Sastro tansah ngrawat jenazah kanthi teliti,Dheweke ngumbah lan ngumbah almarhum kanthi cara sing bener,Iki minangka bagéan saka tradisi Jawa kanggo ngurmati wong mati,Pak Sastro uga ndonga kanggo arwah almarhum,"Ngumbah jenazah diarani ""Siraman jenazah"".",Pak Sastro nglumpukake kabeh barang-barang almarhum.
Death,Mbak Rini lan sedulur-sedulure padha musyawarah,Wong-wong padha ngomongake babagan warisan saka bapake sing anyar seda,Kabeh pengin adil lan ora ana sing kepengin rebutan,Musyawarah lumaku kanthi lancar lan rukun,"Ing budaya Jawa, warisan diatur kanthi musyawarah keluarga.",Mbak Rini njaluk kabeh warisan kanggo dheweke dhewe.
Death,Kang Surono minangka modin ing desa,Dheweke tansah nulung warga desa nalika ana sing seda,Kang Surono mimpin upacara lan doa kanggo almarhum,Wong-wong desa padha ngurmati Kang Surono amarga kebaikane,Kang Surono yaiku tokoh penting ing upacara kematian.,Kang Surono ora seneng karo tanggung jawab iki.
Death,"Nalika Bu Tini seda, kabeh tangga teparo padha teka",Wong-wong padha mbantu ngumbah jenazah lan nyiapake upacara panguburan,Kabeh padha sedhih nanging uga nrima kahanan,Kabeh tangga teparo menehi sumbangan kanggo kulawarga sing ditinggal,Solidaritas antarane tangga teparo kuwi kuwat banget ing budaya Jawa.,Tangga teparo ora gelem mbantu kulawarga Bu Tini.
Death,Pak Mantri iku wong sing dipercaya kanggo mimpin doa ing panguburan,Dheweke tansah nyiapake kabeh kanthi apik,Wong-wong padha teka kanggo ndunga bebarengan,Upacara panguburan dadi luwih khidmat lan penuh rasa hormat,"Doa sing dipimpin Pak Mantri diarani ""Tahlilan"".",Pak Mantri tansah njaluk bayaran kanggo jasane.
Death,Bapak Darmo tilar donya ing desa cilik,Keluargane nglumpuk kabeh kanggo ngatur pemakaman,Wong-wong desa padha teka kanggo mbantu lan ngatur upacara adat,Wong-wong klambi ireng minangka tanda duka,Wong-wong desa nyiapake sesajen lan ngatur pemakaman miturut adat Javanese.,Wong-wong klambi ireng banjur tari-tarian kanggo ngurmati Bapak Darmo.
Death,"Mbok Rini wis ora ana, lan keluargane nemoni masalah warisan",Anak-anak padha ngerebut warisan sing ditinggalake,Pak Lurah diminta dadi penengah,Sidang desa kanggo ngatasi masalah iki,Pak Lurah ngatur warisan miturut aturan adat lan kesepakatan antar anak-anak.,Anak-anak tetep ribut lan ora nemu kesepakatan bab warisan.
Death,Mbak Siti ngerumat layon buatan ibune,Dheweke nyuceni lan ngatur nganggo klambi paling apik,Bapak-bapak desa padha teka kanggo ngangkat layon menyang kuburan,Prosesi pemakaman dilakoni kanthi khidmat,Mbak Siti ngrasakake lega amarga bisa ngatur pemakaman ibune kanthi tradisi.,Mbak Siti ngrasakake lega amarga kabeh layon wis didandani nganggo klambi apik.
Death,Pak Joko wis tilar donya lan dikubur kanthi upacara adat,Wong-wong desa padha ngumpul ing kuburan kanggo doa bareng,"Sawise pemakaman, keluargane Pak Joko ngundang wong-wong kanggo slametan",Slametan diisi panganan khas Javanese,Wong-wong desa mangan bareng lan ndonga kanggo arwah Pak Joko.,Wong-wong desa ngadani lomba masak kanggo ngurmati Pak Joko.
Death,Mbak Sri ora ngerti carane ngatur layon sedulure,Wong-wong desa padha teka mbantu lan ngatur kabeh,Prosesi pemakaman tetep dilakoni kanthi tertib,Mbak Sri sinau akeh babagan tradisi pemakaman Javanese,Mbak Sri matur nuwun marang warga desa sing wis mbantu.,Mbak Sri tetep bingung lan ora ngerti apa sing kudu ditindakake.
Death,Keluargane Pak Bambang ngadani tahlilan saben dina nganti pitung dina,Wong-wong desa padha teka kanggo ndonga bareng,Makanan kanggo tamu disiapake kanthi apik,Tahlilan dadi ajang kumpul lan ndedonga bareng,Keluargane Pak Bambang ngrasakake kebersamaan lan dukungan saka warga desa.,Wong-wong desa mangan tanpa ndonga kanggo Pak Bambang.
Death,Ana upacara layat ing desa,Wong-wong padha teka nganggo sandhangan ireng,Keluarga almarhum nyiapake sega bancakan lan jenang abang,Upacara layat iki nggambarake rasa sedih lan penghormatan marang sing seda,Upacara layat rampung kanthi lancar lan kabeh wong bali menyang omahe.,Wong-wong padha seneng lan joget ing upacara layat.
Death,Keluarga Pak Darmo nindakake upacara nyewu dina,Upacara iki dianakake kanggo ngurmati arwah Pak Darmo,Wong-wong desa padha rawuh lan ndedonga bebarengan,Upacara iki minangka tradisi sing wis suwe ditindakake,Upacara nyewu dina rampung kanthi khusyuk.,Wong-wong desa ora ngerti maksude upacara iki.
Death,"Sabanjure, keluarga almarhum mbagi warisan",Kabeh ahli waris wis dikumpulake ing omah,Pembagian warisan ditindakake adil miturut wasiat almarhum,Saben ahli waris nampa bagiane kanthi legawa,Keluarga tetep rukun sawise warisan dibagi.,Keluarga dadi bentrok amarga warisan.
Death,"Wektu ana wong seda, warga desa padha ngumpul ing omah almarhum",Wong-wong padha nyiapake panguburan lan ngatur urutan acara,Keluarga almarhum ora kudu ngurus kabeh dhewe,Gotong royong iki minangka wujud solidaritas warga desa,Panguburan rampung kanthi tertib lan lancar.,Keluarga almarhum bingung lan ora ngerti apa sing kudu ditindakake.
Death,Wong-wong padha nganggo busana ireng nalika upacara layat,Sandhangan ireng iki minangka lambang duka lan rasa hormat marang almarhum,Wong-wong uga nganggo iket putih ing sirah,Iki minangka bagian saka tradisi Javanese,Upacara layat dadi momen sedih nanging khusyuk.,Wong-wong padha ngguyu lan guyon ing upacara layat.
Death,"Sawise panguburan, keluarga almarhum nindakake slametan",Slametan iki dianakake kanggo ngaturake doa kanggo arwah almarhum,Wong-wong padha mangan bebarengan lan ndedonga,Tradisi iki minangka tanda pangerten lan persatuan,Slametan rampung lan kabeh wong bali kanthi tentrem.,Slametan dadi rame lan ora tertib.
Death,Keluarga Sukardi lagi ngadani slametan kanggo almarhum,Warga desa padha teka nyumbang panganan,Slametan iku diadani sawisé pitung dina almarhum tilar donya,Kabeh padha nganggo klambi ireng,Slametan iki minangka wujud rasa syukur lan donga kanggo almarhum.,Warga desa seneng mangan panganan sing disuguhake.
Death,Sumarni lagi nyiapake jenazah bapake sing anyar tilar donya,Dheweke lan keluargane nyekel adab-adab sing wis diwarisake leluhure,Sumarni ngumbahi jenazah kanthi banyu suci lan wangi-wangian,Jenazah banjur diwring udan-udan lan diulemi,Sumarni nglakoni kabeh prosesi kanthi khusyuk lan penuh rasa bakti.,Sumarni cepet-cepet ndandani jenazah lan nglepas kelethe.
